Br Usd Category Group
-1 -1 2 1
14 14 1 1
12 12 1 2
-6 -5 2 1
9 10 1 2
3 3 1 2
9 -15 1 1
2 -18 1 2
9 -2 1 2
5 -2 1 2
-19 2 2 1
-9 -12 2 2
-8 -8 2 2
0 0 2 2
-1 -1 2 2
-9 1 2 1
-27 3 2 2
-9 -6 2 2
-8 -5 2 2
-2 0 2 2
-2 -1 2 2
-20 7 2 1
-29 9 2 2
-23 6 2 2
-12 -1 2 2
-11 -2 2 2
-6 2 2 2
-5 1 2 2
5 -30 1 1
-15 -23 2 2
-12 -11 2 2
-14 -6 2 2
-8 -8 2 2
-8 -7 2 2
-4 -4 2 2
-1 -4 2 1
4 -38 1 2
-8 -16 2 2
-9 -10 2 2
-11 -7 2 2
-7 -8 2 2
-7 -7 2 2
7 -4 1 1
7 -6 1 2
6 -20 1 2
-3 -11 2 2
-4 -8 2 2
-7 -6 2 2
-4 -7 2 2
2 -3 1 1
9 -1 1 2
5 -2 1 2
5 -13 1 2
-1 -8 2 2
-3 -6 2 2
-5 -4 2 2
1 -4 1 1
3 -4 1 2
5 -1 1 2
3 -1 1 2
4 -10 1 2
-1 -6 2 2
-2 -5 2 2
8 7 1 1
12 3 1 2
7 1 1 2
7 1 1 2
5 1 1 2
5 -6 1 2
1 -4 1 2
-5 -10 2 1
3 -1 1 2
3 -3 1 2
3 -2 1 2
4 -1 1 2
3 -1 1 2
4 -7 1 2
17 4 1 1
13 -2 1 2
10 3 1 2
8 1 1 2
7 1 1 2
7 1 1 2
6 0 1 2
20 -1 1 1
41 -1 1 2
18 -3 1 2
15 1 1 2
12 0 1 2
10 0 1 2
10 0 1 2
-15 0 2 1
2 0 1 2
12 0 1 2
6 -2 1 2
7 1 1 2
6 0 1 2
5 0 1 2
-7 0 2 1
-16 2 2 2
1 1 1 2
7 0 1 2
4 -1 1 2
5 1 1 2
5 0 1 2
0 -5 2 1
-6 -3 2 2
-8 0 2 2
1 0 1 2
6 0 1 2
4 -1 1 2
4 0 1 2
12 -6 1 1
13 -12 1 2
3 -5 1 2
-1 -3 2 2
4 -2 1 2
7 -2 1 2
5 -2 1 2
12 -5 1 1
21 -2 1 2
11 -4 1 2
5 -2 1 2
2 -1 1 2
5 -1 1 2
8 -1 1 2
3 0 1 1
15 -7 1 2
12 -2 1 2
9 -4 1 2
5 -2 1 2
2 -1 1 2
5 -1 1 2
22 -1 1 1
26 0 1 2
19 -4 1 2
15 -1 1 2
12 -3 1 2
8 -2 1 2
5 -1 1 2
