Br Usd Category Group
-2 6 2 1
0 20 2 1
-5 27 2 2
-13 -3 2 1
-13 19 2 2
-9 13 2 2
11 20 1 1
0 16 2 2
0 19 2 2
-2 15 2 2
-38 28 2 1
-26 45 2 2
-19 21 2 2
-13 21 2 2
-11 18 2 2
7 -14 1 1
-29 14 2 2
-9 15 2 2
-10 9 2 2
-7 12 2 2
-7 11 2 2
2 2 1 1
5 -12 1 2
-16 8 2 2
-7 11 2 2
-8 7 2 2
-6 10 2 2
-6 10 2 2
-5 35 2 1
-7 37 2 2
-2 11 2 2
-13 17 2 2
-7 17 2 2
-8 13 2 2
-7 14 2 2
-7 -13 2 1
-10 22 2 2
-6 12 2 2
-3 3 2 2
-11 10 2 2
-7 11 2 2
-7 9 2 2
2 0 1 1
-3 -12 2 2
-3 12 2 2
-3 8 2 2
-1 3 2 2
-8 8 2 2
-5 9 2 2
5 0 1 1
5 -1 1 2
0 -6 2 2
-1 7 2 2
-1 6 2 2
0 2 2 2
-6 6 2 2
2 -14 1 1
7 -14 1 2
3 -8 1 2
1 -9 1 2
0 2 2 2
-1 2 2 2
0 -1 2 2
-23 18 2 1
-25 5 2 2
-10 2 2 2
-7 1 2 2
-6 -2 2 2
-6 5 2 2
-5 5 2 2
7 -13 1 1
-16 5 2 2
-9 -4 2 2
-4 -3 2 2
-3 -2 2 2
-4 -4 2 2
-4 2 2 2
21 0 1 1
26 -10 1 2
2 4 1 2
1 -2 1 2
2 -1 1 2
1 -1 1 2
0 -3 2 2
-5 -17 2 1
16 -17 1 2
11 -14 1 2
-1 -3 2 2
-1 -6 2 2
0 -5 2 2
0 -4 2 2
-7 5 2 1
-7 -10 2 2
7 -5 1 2
7 -7 1 2
-1 -1 2 2
-1 -3 2 2
0 -3 2 2
20 -6 1 1
8 -3 1 2
4 -9 1 2
10 -6 1 2
9 -7 1 2
2 -2 1 2
2 -4 1 2
3 -1 1 1
21 -7 1 2
5 -2 1 2
3 -6 1 2
8 -5 1 2
7 -6 1 2
2 -2 1 2
2 -10 1 1
5 -10 1 2
11 -8 1 2
4 -4 1 2
3 -7 1 2
7 -5 1 2
6 -6 1 2
-3 -5 2 1
-2 -12 2 2
1 -6 1 2
7 -6 1 2
2 -4 1 2
2 -6 1 2
5 -5 1 2
51 -16 1 1
49 -25 1 2
25 -16 1 2
18 -11 1 2
18 -9 1 2
12 -7 1 2
10 -8 1 2
11 -6 1 1
64 -20 1 2
31 -15 1 2
21 -12 1 2
17 -9 1 2
17 -8 1 2
12 -7 1 2
-21 3 2 1
-8 -4 2 2
22 -9 1 2
14 -10 1 2
11 -9 1 2
10 -7 1 2
11 -7 1 2
