Br Usd Category Group
-7 -5 2 1
5 6 1 1
-2 4 2 2
-21 21 2 1
-16 32 2 2
-12 15 2 2
-5 -7 2 1
-28 11 2 2
-12 11 2 2
-10 7 2 2
-22 13 2 1
-26 6 2 2
-25 12 2 2
-15 12 2 2
-13 8 2 2
21 7 1 1
-2 18 2 2
-3 5 2 2
-10 10 2 2
-6 10 2 2
-6 7 2 2
2 1 1 1
24 7 1 2
0 9 2 2
-1 4 2 2
-7 7 2 2
-4 8 2 2
-5 6 2 2
4 -3 1 1
6 -3 1 2
14 2 1 2
1 5 1 2
0 2 2 2
-5 5 2 2
-3 6 2 2
7 -8 1 1
10 -11 1 2
6 -5 1 2
11 -1 1 2
2 2 1 2
1 0 1 2
-3 3 2 2
2 6 1 1
10 -3 1 2
6 -3 1 2
5 -2 1 2
9 0 1 2
2 2 1 2
1 1 1 2
1 -2 1 1
4 2 1 2
6 -3 1 2
5 -3 1 2
4 -2 1 2
7 0 1 2
2 1 1 2
-12 -3 2 1
-10 -3 2 2
-4 1 2 2
0 -2 2 2
1 -2 1 2
1 -2 1 2
4 0 1 2
7 -2 1 1
-5 -7 2 2
-1 -3 2 2
0 -1 2 2
2 -3 1 2
2 -3 1 2
2 -2 1 2
5 -1 1 1
12 -4 1 2
0 -4 2 2
1 -3 1 2
1 -1 1 2
2 -2 1 2
2 -2 1 2
0 -9 2 1
5 -10 1 2
6 -6 1 2
0 -6 2 2
1 -4 1 2
1 -2 1 2
2 -3 1 2
-9 7 2 1
-9 -2 2 2
-2 -1 2 2
1 -2 1 2
-2 -3 2 2
-1 -2 2 2
-1 -1 2 2
-9 5 2 1
-19 9 2 2
-9 0 2 2
-5 0 2 2
-2 -1 2 2
-4 -2 2 2
-3 -1 2 2
25 17 1 1
16 20 1 2
3 12 1 2
2 5 1 2
3 4 1 2
4 2 1 2
1 1 1 2
-14 6 2 1
10 22 1 2
1 13 1 2
-3 10 2 2
-2 5 2 2
-1 4 2 2
1 3 1 2
-2 6 2 1
-16 12 2 2
4 14 1 2
0 10 2 2
-3 9 2 2
-2 5 2 2
-1 4 2 2
-4 3 2 1
-6 9 2 2
-10 7 2 2
1 10 1 2
-1 8 2 2
-3 8 2 2
-2 5 2 2
-12 1 2 1
-16 -1 2 2
-9 3 2 2
-11 4 2 2
-2 7 2 2
-3 6 2 2
-5 6 2 2
-30 10 2 1
-43 7 2 2
-24 3 2 2
-17 4 2 2
-16 4 2 2
-8 7 2 2
-8 6 2 2
4 0 1 1
-26 10 2 2
-20 3 2 2
-14 2 2 2
-11 3 2 2
-12 3 2 2
-6 6 2 2
