Br Usd Category Group
-9 16 2 1
4 52 1 1
-4 63 2 2
-3 -25 2 1
3 25 1 2
-3 18 2 2
-1 18 2 1
-7 -10 2 2
-1 20 2 2
-3 17 2 2
-4 -9 2 1
-3 8 2 2
-4 -10 2 2
-1 10 2 2
-3 10 2 2
-9 -3 2 1
-10 -18 2 2
-4 0 2 2
-5 -10 2 2
-2 5 2 2
-3 6 2 2
10 0 1 1
-1 -7 2 2
-1 -11 2 2
0 -2 2 2
-2 -8 2 2
0 3 2 2
-2 5 2 2
-27 23 2 1
-16 24 2 2
-14 8 2 2
-10 1 2 2
-7 5 2 2
-7 -2 2 2
-5 7 2 2
12 -2 1 1
-14 17 2 2
-1 9 2 2
-5 4 2 2
-4 -1 2 2
-3 3 2 2
-3 -3 2 2
-6 -2 2 1
3 -4 1 2
-11 8 2 2
-4 6 2 2
-6 2 2 2
-5 -1 2 2
-4 2 2 2
6 4 1 1
4 2 1 2
6 0 1 2
-4 6 2 2
0 5 2 2
-3 3 2 2
-2 0 2 2
6 41 1 1
14 47 1 2
6 23 1 2
7 14 1 2
-1 16 2 2
1 13 1 2
-1 9 2 2
-4 -10 2 1
1 31 1 2
5 18 1 2
3 11 1 2
4 8 1 2
-2 10 2 2
0 9 2 2
-1 19 2 1
-6 11 2 2
0 26 2 2
3 19 1 2
2 14 1 2
3 11 1 2
-2 12 2 2
0 0 2 1
1 18 1 2
-1 6 2 2
1 17 1 2
3 14 1 2
2 11 1 2
3 9 1 2
-1 -2 2 1
-3 -3 2 2
-1 8 2 2
-2 3 2 2
0 12 2 2
2 11 1 2
1 9 1 2
-10 7 2 1
-9 4 2 2
-5 2 2 2
-3 7 2 2
-3 4 2 2
-1 11 2 2
0 10 2 2
7 1 1 1
-4 7 2 2
-1 2 2 2
-1 1 2 2
-1 5 2 2
-1 3 2 2
0 9 2 2
-4 4 2 1
-1 4 2 2
-6 5 2 2
-4 3 2 2
-3 2 2 2
-2 5 2 2
-3 3 2 2
0 -5 2 1
-6 -4 2 2
-1 -2 2 2
-5 1 2 2
-3 0 2 2
-3 0 2 2
-2 3 2 2
3 2 1 1
3 -3 1 2
-1 -1 2 2
0 0 2 2
-3 1 2 2
-2 0 2 2
-2 0 2 2
0 -13 2 1
6 -13 1 2
3 -9 1 2
0 -6 2 2
1 -4 1 2
-2 -2 2 2
-1 -2 2 2
-4 1 2 1
-7 -12 2 2
-1 -6 2 2
0 -6 2 2
-2 -4 2 2
-1 -3 2 2
-3 -1 2 2
1 -36 1 1
-1 -33 2 2
-2 -23 2 2
0 -15 2 2
0 -13 2 2
-1 -10 2 2
0 -8 2 2
