Br Usd Category Group
8 32 1 1
-6 28 2 1
2 61 1 2
-10 10 2 1
-17 39 2 2
-4 36 2 2
14 88 1 1
4 97 1 2
-2 63 2 2
2 53 1 2
-5 -29 2 1
7 59 1 2
-2 34 2 2
-4 32 2 2
-1 33 2 2
1 2 1 1
-1 -26 2 2
5 31 1 2
0 23 2 2
-2 25 2 2
0 27 2 2
5 4 1 1
6 6 1 2
2 -11 1 2
5 22 1 2
1 19 1 2
0 21 2 2
1 23 1 2
18 -12 1 1
25 -4 1 2
13 -1 1 2
8 -10 1 2
9 15 1 2
5 13 1 2
3 16 1 2
17 11 1 1
35 -3 1 2
21 2 1 2
14 2 1 2
10 -5 1 2
11 13 1 2
7 13 1 2
-7 -15 2 1
10 -6 1 2
14 -10 1 2
12 -4 1 2
9 -3 1 2
7 -8 1 2
8 8 1 2
-8 -28 2 1
-18 -43 2 2
-1 -17 2 2
6 -16 1 2
6 -10 1 2
5 -8 1 2
4 -11 1 2
8 5 1 1
0 -25 2 2
-5 -20 2 2
2 -11 1 2
6 -11 1 2
7 -8 1 2
6 -6 1 2
-5 -68 2 1
4 -65 1 2
-2 -47 2 2
-5 -37 2 2
1 -25 1 2
4 -23 1 2
5 -18 1 2
-2 17 2 1
-4 -56 2 2
2 -26 1 2
-1 -27 2 2
-3 -24 2 2
1 -18 1 2
4 -17 1 2
4 27 1 1
2 44 1 2
1 -15 1 2
3 -9 1 2
0 -14 2 2
-2 -14 2 2
1 -10 1 2
1 -10 1 1
6 20 1 2
2 19 1 2
1 -12 1 2
3 -8 1 2
1 -12 1 2
-1 -13 2 2
-8 -17 2 1
-5 -26 2 2
0 2 2 2
0 7 2 2
-1 -13 2 2
1 -10 1 2
0 -13 2 2
-5 -57 2 1
-12 -71 2 2
-4 -40 2 2
-1 -17 2 2
-1 -8 2 2
-1 -21 2 2
0 -17 2 2
1 -63 1 1
0 -121 2 2
-4 -68 2 2
-1 -48 2 2
0 -29 2 2
0 -20 2 2
0 -28 2 2
6 -61 1 1
10 -126 1 2
4 -92 1 2
0 -66 2 2
1 -52 1 2
2 -35 1 2
1 -27 1 2
-2 41 2 1
2 -13 1 2
3 -39 1 2
2 -45 1 2
-1 -37 2 2
0 -32 2 2
1 -22 1 2
-5 21 2 1
-7 66 2 2
-1 6 2 2
0 -17 2 2
0 -28 2 2
-1 -25 2 2
-1 -22 2 2
-6 40 2 1
-11 60 2 2
-7 53 2 2
-3 17 2 2
-1 -3 2 2
-1 -14 2 2
-2 -14 2 2
12 -35 1 1
8 3 1 2
2 12 1 2
0 23 2 2
2 4 1 2
2 -10 1 2
1 -18 1 2
