Br Usd Category Group
-1 -6 2 1
-4 -9 2 1
-9 -19 2 2
-25 -2 2 1
-28 -12 2 2
-16 -11 2 2
4 -13 1 1
-19 -16 2 2
-11 -13 2 2
-9 -11 2 2
10 33 1 1
16 24 1 2
-4 10 2 2
-3 4 2 2
-4 0 2 2
-7 -18 2 1
-1 15 2 2
2 3 1 2
-6 1 2 2
-5 -2 2 2
-5 -3 2 2
-15 10 2 1
-26 -13 2 2
-10 10 2 2
-5 4 2 2
-9 2 2 2
-8 0 2 2
-8 -2 2 2
12 0 1 1
0 10 2 2
-6 -7 2 2
-2 7 2 2
0 3 2 2
-5 1 2 2
-4 0 2 2
-6 6 2 1
3 9 1 2
-4 10 2 2
-7 -1 2 2
-4 7 2 2
-2 4 2 2
-5 3 2 2
-1 2 2 1
-6 8 2 2
1 6 1 2
-3 7 2 2
-5 0 2 2
-3 6 2 2
-1 4 2 2
3 7 1 1
1 9 1 2
-1 8 2 2
2 6 1 2
-1 7 2 2
-3 1 2 2
-2 6 2 2
1 -5 1 1
9 2 1 2
4 2 1 2
1 4 1 2
3 3 1 2
0 5 2 2
-2 0 2 2
4 -2 1 1
4 -7 1 2
6 0 1 2
3 1 1 2
1 2 1 2
3 2 1 2
0 4 2 2
3 -7 1 1
12 -8 1 2
6 -7 1 2
6 -2 1 2
4 -1 1 2
3 1 1 2
4 1 1 2
-16 9 2 1
-12 3 2 2
-1 0 2 2
-1 -1 2 2
1 1 1 2
1 1 1 2
0 2 2 2
9 -2 1 1
-7 8 2 2
-1 1 2 2
2 0 1 2
1 -1 1 2
3 0 1 2
2 1 1 2
3 1 1 1
9 -1 1 2
-4 5 2 2
-1 1 2 2
1 0 1 2
1 -1 1 2
2 1 1 2
4 4 1 1
9 5 1 2
7 2 1 2
0 4 2 2
1 2 1 2
2 1 1 2
2 0 1 2
-10 24 2 1
-6 28 2 2
-1 14 2 2
1 9 1 2
-3 9 2 2
-1 6 2 2
0 5 2 2
4 2 1 1
-7 26 2 2
-1 15 2 2
0 10 2 2
2 7 1 2
-2 8 2 2
-1 5 2 2
-32 10 2 1
-23 6 2 2
-17 15 2 2
-10 11 2 2
-7 9 2 2
-4 7 2 2
-6 7 2 2
-70 -5 2 1
-103 8 2 2
-47 2 2 2
-35 9 2 2
-26 8 2 2
-20 7 2 2
-15 5 2 2
29 5 1 1
-37 3 2 2
-35 8 2 2
-20 4 2 2
-18 9 2 2
-14 8 2 2
-11 7 2 2
-15 6 2 1
16 12 1 2
-25 5 2 2
-28 8 2 2
-19 5 2 2
-17 9 2 2
-14 8 2 2
