Br Usd Category Group
18 1 1 1
-18 14 2 1
0 14 2 2
4 8 1 1
-17 16 2 2
1 8 1 2
-9 0 2 1
-5 6 2 2
-13 7 2 2
-3 5 2 2
-14 4 2 1
-22 1 2 2
-9 4 2 2
-13 5 2 2
-5 4 2 2
-1 0 2 1
-14 7 2 2
-11 2 2 2
-6 4 2 2
-10 5 2 2
-4 4 2 2
-17 -4 2 1
-17 -5 2 2
-15 1 2 2
-12 0 2 2
-8 1 2 2
-11 3 2 2
-6 2 2 2
5 -2 1 1
-12 -5 2 2
-6 -3 2 2
-8 1 2 2
-8 0 2 2
-6 1 2 2
-8 2 2 2
-13 2 2 1
-9 0 2 2
-13 -1 2 2
-9 -1 2 2
-10 1 2 2
-9 0 2 2
-7 1 2 2
10 0 1 1
-3 3 2 2
1 0 1 2
-5 -1 2 2
-4 -1 2 2
-6 1 2 2
-6 0 2 2
13 -3 1 1
22 -2 1 2
4 0 1 2
4 -1 1 2
-1 -1 2 2
-1 -1 2 2
-3 0 2 2
-3 -5 2 1
10 -12 1 2
10 -6 1 2
2 -3 1 2
3 -3 1 2
-1 -3 2 2
-1 -2 2 2
1 5 1 1
-3 0 2 2
5 -4 1 2
6 -2 1 2
2 -1 1 2
2 -1 1 2
-1 -1 2 2
12 -1 1 1
13 2 1 2
4 -2 1 2
7 -4 1 2
8 -2 1 2
4 -1 1 2
4 -2 1 2
5 0 1 1
14 -2 1 2
8 1 1 2
4 -1 1 2
6 -3 1 2
7 -2 1 2
3 -1 1 2
-1 -7 2 1
1 -6 1 2
5 -4 1 2
4 -1 1 2
2 -2 1 2
4 -3 1 2
5 -2 1 2
1 -13 1 1
0 -19 2 2
1 -9 1 2
4 -7 1 2
3 -4 1 2
2 -4 1 2
4 -5 1 2
-18 -13 2 1
-17 -24 2 2
-9 -15 2 2
-5 -10 2 2
-2 -8 2 2
-1 -6 2 2
-1 -6 2 2
5 5 1 1
-10 -9 2 2
-4 -10 2 2
-3 -9 2 2
-2 -6 2 2
0 -5 2 2
0 -4 2 2
9 8 1 1
14 11 1 2
-1 -1 2 2
0 -5 2 2
0 -5 2 2
0 -4 2 2
2 -4 1 2
15 -2 1 1
24 4 1 2
15 3 1 2
5 -2 1 2
4 -5 1 2
3 -5 1 2
3 -4 1 2
-10 1 2 1
6 -3 1 2
8 1 1 2
7 2 1 2
1 -2 1 2
1 -4 1 2
1 -4 1 2
-3 4 2 1
-13 8 2 2
2 2 1 2
4 3 1 2
4 3 1 2
1 0 1 2
1 -2 1 2
19 -4 1 1
15 0 1 2
3 2 1 2
7 0 1 2
8 1 1 2
7 2 1 2
3 -1 1 2
