Br Usd Category Group
-8 12 2 1
10 2 1 1
2 14 1 2
-8 -14 2 1
-2 -11 2 2
-5 0 2 2
-22 -1 2 1
-29 -16 2 2
-11 -6 2 2
-10 0 2 2
27 2 1 1
7 1 1 2
0 -7 2 2
2 -4 1 2
0 0 2 2
5 -19 1 1
32 -15 1 2
6 -8 1 2
2 -10 1 2
3 -7 1 2
1 -3 1 2
-71 25 2 1
-64 6 2 2
-19 5 2 2
-19 3 2 2
-16 -1 2 2
-11 -1 2 2
-11 1 2 2
7 -3 1 1
-62 22 2 2
-28 1 2 2
-10 2 2 2
-12 1 2 2
-11 -2 2 2
-8 -1 2 2
-46 8 2 1
-44 5 2 2
-56 15 2 2
-35 3 2 2
-20 4 2 2
-20 3 2 2
-18 0 2 2
26 -9 1 1
-20 0 2 2
-9 -2 2 2
-29 7 2 2
-20 0 2 2
-11 1 2 2
-12 1 2 2
-2 0 2 1
22 -8 1 2
-12 0 2 2
-7 -1 2 2
-23 5 2 2
-17 0 2 2
-10 1 2 2
-53 7 2 1
-56 7 2 2
-16 0 2 2
-26 3 2 2
-19 1 2 2
-29 6 2 2
-23 2 2 2
-3 -3 2 1
-58 4 2 2
-31 2 2 2
-12 -1 2 2
-21 1 2 2
-16 0 2 2
-25 4 2 2
26 -31 1 1
24 -34 1 2
-15 -13 2 2
-11 -9 2 2
-3 -9 2 2
-11 -5 2 2
-9 -5 2 2
43 -27 1 1
63 -64 1 2
31 -34 1 2
2 -20 1 2
1 -15 1 2
5 -14 1 2
-3 -10 2 2
-7 16 2 1
36 -11 1 2
28 -24 1 2
18 -17 1 2
0 -11 2 2
-1 -9 2 2
3 -9 1 2
7 -17 1 1
-2 3 2 2
20 -12 1 2
20 -20 1 2
15 -16 1 2
1 -11 1 2
0 -10 2 2
39 0 1 1
46 -22 1 2
19 -1 1 2
27 -10 1 2
25 -17 1 2
20 -14 1 2
7 -10 1 2
15 -5 1 1
51 -5 1 2
29 -13 1 2
16 -2 1 2
23 -8 1 2
23 -14 1 2
19 -12 1 2
-56 6 2 1
-39 -2 2 2
-2 -1 2 2
1 -8 1 2
-1 -1 2 2
8 -6 1 2
10 -11 1 2
22 2 1 1
-30 5 2 2
-7 -2 2 2
7 -1 1 2
7 -6 1 2
4 -1 1 2
11 -5 1 2
2 13 1 1
24 10 1 2
-14 6 2 2
-4 1 2 2
6 1 1 2
6 -3 1 2
4 0 1 2
-19 28 2 1
-17 43 2 2
3 20 1 2
-16 14 2 2
-8 9 2 2
1 7 1 2
2 2 1 2
-8 2 2 1
-27 30 2 2
-13 22 2 2
-1 14 2 2
-14 11 2 2
-8 7 2 2
-1 6 2 2
