Br Usd Category Group
-10 27 2 1
-11 -13 2 1
-24 14 2 2
14 -4 1 1
4 -16 1 2
-4 5 2 2
4 -13 1 1
22 -10 1 2
6 -11 1 2
0 1 2 2
-3 -25 2 1
-1 -39 2 2
8 -18 1 2
2 -16 1 2
-1 -6 2 2
7 -13 1 1
10 -49 1 2
6 -32 1 2
10 -20 1 2
5 -18 1 2
1 -9 1 2
-3 14 2 1
4 6 1 2
3 -16 1 2
3 -15 1 2
7 -11 1 2
3 -11 1 2
1 -5 1 2
8 -9 1 1
3 5 1 2
5 -2 1 2
4 -13 1 2
3 -14 1 2
6 -10 1 2
4 -11 1 2
7 -31 1 1
17 -35 1 2
6 -11 1 2
6 -10 1 2
5 -17 1 2
4 -16 1 2
7 -13 1 2
-34 35 2 1
-28 10 2 2
-9 3 2 2
-8 6 2 2
-4 3 2 2
-3 -5 2 2
-2 -7 2 2
15 22 1 1
-15 56 2 2
-5 15 2 2
0 9 2 2
-1 10 2 2
0 6 2 2
1 -1 1 2
-14 -12 2 1
6 8 1 2
-13 21 2 2
-7 6 2 2
-2 3 2 2
-3 5 2 2
-1 3 2 2
-14 23 2 1
-28 14 2 2
-4 17 2 2
-13 23 2 2
-8 11 2 2
-5 8 2 2
-5 9 2 2
10 -2 1 1
-4 21 2 2
-9 6 2 2
0 11 2 2
-7 17 2 2
-5 8 2 2
-2 6 2 2
14 4 1 1
24 1 1 2
5 12 1 2
-1 5 2 2
4 9 1 2
-3 14 2 2
-2 7 2 2
11 -25 1 1
27 -22 1 2
18 -12 1 2
7 0 1 2
2 -2 1 2
6 2 1 2
0 7 2 2
-1 -3 2 1
13 -29 1 2
14 -13 1 2
13 -9 1 2
6 -1 1 2
2 -3 1 2
5 1 1 2
-8 9 2 1
-10 4 2 2
2 -11 1 2
7 -6 1 2
7 -5 1 2
3 0 1 2
0 -1 2 2
0 9 2 1
1 17 1 2
0 6 2 2
5 -4 1 2
7 -3 1 2
8 -3 1 2
4 2 1 2
1 -9 1 1
-1 3 2 2
0 6 2 2
0 2 2 2
3 -5 1 2
6 -3 1 2
6 -3 1 2
-4 -9 2 1
-3 -18 2 2
-3 -3 2 2
-1 1 2 2
-1 -1 2 2
2 -6 1 2
4 -4 1 2
-6 12 2 1
-4 4 2 2
-1 -2 2 2
-2 3 2 2
-1 4 2 2
-1 2 2 2
1 -2 1 2
-4 10 2 1
-15 24 2 2
-7 8 2 2
-4 2 2 2
-4 5 2 2
-3 6 2 2
-3 4 2 2
-3 -282 2 1
-3 -275 2 2
-7 -130 2 2
-4 -89 2 2
-3 -69 2 2
-3 -53 2 2
-2 -43 2 2
