Br Usd Category Group
5 20 1 1
-12 -11 2 1
-5 5 2 2
-5 25 2 1
-15 11 2 2
-4 14 2 2
-27 42 2 1
-32 68 2 2
-21 27 2 2
-12 23 2 2
-20 3 2 1
-46 45 2 2
-26 36 2 2
-20 19 2 2
-14 18 2 2
-46 45 2 1
-60 48 2 2
-43 45 2 2
-30 39 2 2
-25 26 2 2
-19 24 2 2
-10 30 2 1
-56 78 2 2
-35 40 2 2
-32 41 2 2
-25 37 2 2
-22 27 2 2
-17 25 2 2
45 -51 1 1
34 -18 1 2
-6 15 2 2
-9 11 2 2
-13 18 2 2
-11 20 2 2
-11 14 2 2
3 12 1 1
48 -39 1 2
19 -3 1 2
-3 14 2 2
-6 11 2 2
-10 17 2 2
-9 19 2 2
15 -28 1 1
15 -16 1 2
30 -33 1 2
17 -11 1 2
1 3 1 2
-2 3 2 2
-6 10 2 2
-2 -3 2 1
12 -30 1 2
6 -9 1 2
19 -23 1 2
12 -9 1 2
0 2 2 2
-2 3 2 2
-2 -3 2 1
-2 -9 2 2
6 -18 1 2
4 -8 1 2
14 -19 1 2
9 -8 1 2
0 1 2 2
-15 7 2 1
-17 5 2 2
-9 -1 2 2
-1 -9 2 2
-1 -4 2 2
8 -13 1 2
5 -6 1 2
-9 -36 2 1
-24 -31 2 2
-13 -16 2 2
-9 -13 2 2
-3 -16 2 2
-2 -11 2 2
5 -17 1 2
7 5 1 1
2 -34 1 2
-7 -14 2 2
-5 -10 2 2
-4 -9 2 2
0 -13 2 2
0 -8 2 2
0 -33 2 1
3 -30 1 2
-1 -34 2 2
-6 -21 2 2
-5 -16 2 2
-4 -14 2 2
-1 -16 2 2
-38 17 2 1
-38 -11 2 2
-17 -4 2 2
-13 -16 2 2
-14 -10 2 2
-11 -9 2 2
-9 -8 2 2
24 -29 1 1
-15 -11 2 2
-8 -20 2 2
-4 -12 2 2
-4 -19 2 2
-6 -14 2 2
-6 -12 2 2
-9 -8 2 1
17 -36 1 2
-11 -8 2 2
-7 -15 2 2
-5 -11 2 2
-5 -16 2 2
-7 -13 2 2
-21 31 2 1
-31 22 2 2
-3 -3 2 2
-15 4 2 2
-11 -4 2 2
-8 -3 2 2
-8 -9 2 2
-86 30 2 1
-106 66 2 2
-58 29 2 2
-30 10 2 2
-33 12 2 2
-26 4 2 2
-21 4 2 2
-16 -5 2 1
-100 23 2 2
-60 29 2 2
-43 17 2 2
-26 5 2 2
-29 8 2 2
-24 2 2 2
-30 24 2 1
-45 21 2 2
-64 24 2 2
-50 28 2 2
-40 19 2 2
-27 9 2 2
-29 11 2 2
0 -18 2 1
-26 6 2 2
-21 1 2 2
-42 10 2 2
-36 16 2 2
-31 11 2 2
-22 5 2 2
