Br Usd Category Group
-18 0 2 1
-20 23 2 1
-38 23 2 2
33 -14 1 1
12 9 1 2
-3 4 2 2
17 -11 1 1
53 -27 1 2
16 -2 1 2
4 -1 1 2
-17 3 2 1
0 -9 2 2
18 -13 1 2
5 -1 1 2
-1 -1 2 2
8 6 1 1
-8 8 2 2
4 -2 1 2
15 -7 1 2
6 1 1 2
1 0 1 2
48 -31 1 1
60 -22 1 2
22 -10 1 2
20 -11 1 2
24 -12 1 2
15 -5 1 2
9 -4 1 2
-5 -18 2 1
42 -48 1 2
27 -19 1 2
12 -12 1 2
13 -12 1 2
18 -13 1 2
11 -7 1 2
-7 1 2 1
-10 -19 2 2
18 -24 1 2
16 -13 1 2
8 -9 1 2
10 -10 1 2
14 -11 1 2
-7 -1 2 1
-13 -3 2 2
-8 -11 2 2
10 -17 1 2
10 -11 1 2
5 -8 1 2
7 -9 1 2
5 -8 1 1
-2 -9 2 2
-4 -6 2 2
-4 -10 2 2
9 -15 1 2
9 -10 1 2
5 -8 1 2
2 -25 1 1
7 -32 1 2
0 -17 2 2
-2 -12 2 2
-2 -14 2 2
7 -17 1 2
8 -13 1 2
-31 20 2 1
-28 -5 2 2
-12 -6 2 2
-10 -5 2 2
-9 -4 2 2
-8 -7 2 2
1 -11 1 2
-2 -1 2 1
-35 18 2 2
-16 -3 2 2
-9 -5 2 2
-8 -4 2 2
-8 -4 2 2
-7 -6 2 2
20 -8 1 1
18 -9 1 2
-7 5 2 2
-4 -5 2 2
-2 -6 2 2
-3 -5 2 2
-3 -4 2 2
-32 -16 2 1
-13 -24 2 2
-7 -12 2 2
-16 -2 2 2
-11 -8 2 2
-8 -8 2 2
-8 -6 2 2
-20 13 2 1
-53 -5 2 2
-17 -6 2 2
-12 -4 2 2
-17 2 2 2
-13 -4 2 2
-10 -4 2 2
-22 5 2 1
-42 20 2 2
-37 1 2 2
-19 -2 2 2
-15 -1 2 2
-18 3 2 2
-15 -2 2 2
20 -8 1 1
-5 -1 2 2
-12 7 2 2
-19 -1 2 2
-10 -3 2 2
-8 -2 2 2
-12 1 2 2
-12 -1 2 1
7 -6 1 2
-9 0 2 2
-13 5 2 2
-18 0 2 2
-11 -2 2 2
-9 -2 2 2
18 -2 1 1
7 -3 1 2
13 -5 1 2
0 -1 2 2
-5 3 2 2
-11 -1 2 2
-6 -2 2 2
7 0 1 1
28 -2 1 2
8 -1 1 2
12 -3 1 2
3 0 1 2
-2 3 2 2
-7 -1 2 2
13 -13 1 1
20 -14 1 2
21 -8 1 2
10 -6 1 2
12 -6 1 2
5 -3 1 2
1 0 1 2
-2 5 2 1
13 -6 1 2
10 -4 1 2
14 -3 1 2
8 -3 1 2
10 -3 1 2
4 -2 1 2
