Br Usd Category Group
1 15 1 1
-7 -8 2 1
-8 7 2 2
-2 4 2 1
-12 -4 2 2
-7 6 2 2
4 8 1 1
0 13 2 2
-5 3 2 2
-4 7 2 2
0 2 2 1
1 10 1 2
-1 8 2 2
-4 3 2 2
-3 6 2 2
-7 0 2 1
-8 2 2 2
-4 5 2 2
-4 5 2 2
-5 2 2 2
-4 5 2 2
-4 4 2 1
-8 3 2 2
-5 3 2 2
-3 4 2 2
-3 5 2 2
-4 2 2 2
-4 4 2 2
5 5 1 1
2 9 1 2
-1 4 2 2
-1 4 2 2
-1 5 2 2
-1 5 2 2
-3 3 2 2
-2 -1 2 1
2 4 1 2
0 4 2 2
-2 3 2 2
-2 2 2 2
-1 4 2 2
-1 4 2 2
16 -1 1 1
13 -1 1 2
9 2 1 2
5 3 1 2
3 2 1 2
2 2 1 2
2 3 1 2
8 3 1 1
23 3 1 2
10 2 1 2
8 3 1 2
6 3 1 2
4 2 1 2
3 2 1 2
14 13 1 1
23 15 1 2
19 8 1 2
12 5 1 2
10 5 1 2
7 5 1 2
5 4 1 2
6 -6 1 1
20 7 1 2
14 5 1 2
14 3 1 2
10 3 1 2
9 3 1 2
7 3 1 2
-17 2 2 1
-8 -3 2 2
3 5 1 2
5 4 1 2
7 3 1 2
5 3 1 2
5 3 1 2
-5 4 2 1
-24 8 2 2
-8 1 2 2
0 5 2 2
2 5 1 2
4 4 1 2
3 3 1 2
18 1 1 1
16 3 1 2
-2 3 2 2
2 1 1 2
5 4 1 2
6 4 1 2
7 3 1 2
8 -6 1 1
29 -5 1 2
13 -1 1 2
2 0 1 2
4 -1 1 2
6 2 1 2
6 2 1 2
11 3 1 1
14 -2 1 2
17 -1 1 2
11 0 1 2
3 1 1 2
4 0 1 2
6 2 1 2
8 -1 1 1
19 1 1 2
11 -2 1 2
14 -1 1 2
10 0 1 2
4 1 1 2
5 0 1 2
13 -7 1 1
24 -8 1 2
17 -3 1 2
13 -4 1 2
15 -3 1 2
11 -2 1 2
6 -1 1 2
-2 9 2 1
14 2 1 2
13 0 1 2
12 1 1 2
10 -1 1 2
12 0 1 2
10 0 1 2
1 -3 1 1
0 7 2 2
8 0 1 2
9 0 1 2
10 0 1 2
8 -1 1 2
10 -1 1 2
-19 3 2 1
-14 0 2 2
-8 5 2 2
0 1 2 2
3 0 1 2
5 1 1 2
4 0 1 2
11 -3 1 1
-10 0 2 2
-2 -2 2 2
-2 2 2 2
3 0 1 2
4 0 1 2
5 0 1 2
