Br Usd Category Group
-53 7 2 1
6 -3 1 1
-47 2 2 2
-18 5 2 1
-10 4 2 2
-32 5 2 2
0 13 2 1
-18 19 2 2
-5 9 2 2
-21 8 2 2
-27 -5 2 1
-27 8 2 2
-23 7 2 2
-12 4 2 2
-22 5 2 2
6 2 1 1
-21 -3 2 2
-10 5 2 2
-13 5 2 2
-8 4 2 2
-17 4 2 2
0 -15 2 1
6 -13 1 2
-10 -9 2 2
-7 -2 2 2
-10 0 2 2
-6 0 2 2
-14 1 2 2
35 1 1 1
33 -13 1 2
20 -5 1 2
4 -5 1 2
3 -1 1 2
-1 1 2 2
0 0 2 2
-2 3 2 1
31 4 1 2
14 -5 1 2
12 -3 1 2
2 -3 1 2
2 0 1 2
-2 1 2 2
-6 -9 2 1
-8 -3 2 2
12 -1 1 2
8 -5 1 2
7 -3 1 2
0 -4 2 2
0 -1 2 2
0 8 2 1
-8 -2 2 2
-5 2 2 2
8 2 1 2
5 -2 1 2
5 -1 1 2
0 -2 2 2
16 -3 1 1
16 5 1 2
4 -2 1 2
2 1 1 2
10 1 1 2
7 -2 1 2
7 -1 1 2
8 1 1 1
27 -1 1 2
13 3 1 2
6 -1 1 2
4 1 1 2
10 1 1 2
8 -2 1 2
2 -5 1 1
12 -4 1 2
15 -3 1 2
10 1 1 2
6 -2 1 2
4 0 1 2
9 0 1 2
-27 -7 2 1
-23 -14 2 2
-6 -6 2 2
2 -5 1 2
2 -2 1 2
0 -3 2 2
-1 -2 2 2
10 -3 1 1
-16 -9 2 2
-6 -8 2 2
-1 -5 2 2
4 -4 1 2
3 -2 1 2
1 -3 1 2
-6 4 2 1
4 2 1 2
-11 -2 2 2
-6 -4 2 2
-2 -3 2 2
2 -3 1 2
2 -1 1 2
18 -2 1 1
12 2 1 2
11 0 1 2
-1 -2 2 2
0 -3 2 2
2 -2 1 2
5 -2 1 2
-14 0 2 1
2 -3 1 2
-2 1 2 2
2 0 1 2
-5 -2 2 2
-3 -3 2 2
-1 -2 2 2
25 -1 1 1
10 1 1 2
13 0 1 2
7 1 1 2
8 1 1 2
1 -1 1 2
1 -2 1 2
20 -10 1 1
43 -11 1 2
14 -4 1 2
15 -4 1 2
10 -2 1 2
10 -2 1 2
4 -2 1 2
-8 5 2 1
10 -3 1 2
16 -2 1 2
6 -1 1 2
9 -1 1 2
6 0 1 2
6 0 1 2
27 -3 1 1
20 0 1 2
19 -4 1 2
21 -3 1 2
12 -2 1 2
13 -2 1 2
10 -1 1 2
2 -7 1 1
29 -11 1 2
11 -4 1 2
14 -6 1 2
16 -4 1 2
10 -3 1 2
11 -3 1 2
