Br Usd Category Group
7 74 1 1
5 -1 1 1
35 80 1 2
-3 131 2 1
3 137 1 2
17 110 1 2
-3 57 2 1
-10 191 2 2
-2 98 2 2
9 93 1 2
-18 120 2 1
-27 180 2 2
-17 158 2 2
-9 107 2 2
1 101 1 2
-17 5 2 1
-42 125 2 2
-25 92 2 2
-19 107 2 2
-12 81 2 2
-4 82 2 2
-15 3 2 1
-32 5 2 2
-28 62 2 2
-22 62 2 2
-18 80 2 2
-13 65 2 2
-6 68 2 2
-10 68 2 1
-22 71 2 2
-19 36 2 2
-21 64 2 2
-18 63 2 2
-16 78 2 2
-12 66 2 2
-20 98 2 1
-25 165 2 2
-18 84 2 2
-18 57 2 2
-20 73 2 2
-17 71 2 2
-15 82 2 2
-5 -100 2 1
-27 1 2 2
-16 34 2 2
-14 24 2 2
-15 18 2 2
-17 39 2 2
-15 42 2 2
17 80 1 1
8 0 1 2
-7 51 2 2
-6 57 2 2
-8 43 2 2
-9 35 2 2
-12 49 2 2
-3 119 2 1
7 212 1 2
-1 66 2 2
-8 78 2 2
-7 76 2 2
-8 61 2 2
-9 51 2 2
-77 86 2 1
-80 198 2 2
-35 146 2 2
-26 70 2 2
-25 79 2 2
-21 77 2 2
-19 64 2 2
-3 -70 2 1
-67 23 2 2
-35 67 2 2
-20 76 2 2
-17 37 2 2
-18 50 2 2
-16 53 2 2
7 91 1 1
2 -3 1 2
-31 45 2 2
-22 68 2 2
-14 74 2 2
-13 43 2 2
-14 53 2 2
10 -160 1 1
19 -85 1 2
7 -88 1 2
-17 -28 2 2
-13 6 2 2
-9 24 2 2
-9 6 2 2
24 136 1 1
30 -18 1 2
19 29 1 2
11 -12 1 2
-8 14 2 2
-7 34 2 2
-4 44 2 2
-13 -97 2 1
8 28 1 2
8 -62 1 2
8 -16 1 2
5 -35 1 2
-9 -10 2 2
-8 10 2 2
-8 86 2 1
-25 -19 2 2
-2 54 2 2
1 -16 1 2
3 7 1 2
1 -13 1 2
-9 5 2 2
-17 44 2 1
-29 125 2 2
-23 10 2 2
-8 49 2 2
-4 -2 2 2
-2 14 2 2
-2 -4 2 2
12 2 1 1
8 45 1 2
-2 63 2 2
-7 7 2 2
0 37 2 2
2 -1 1 2
3 12 1 2
-3 13 2 1
12 9 1 2
4 26 1 2
-1 44 2 2
-5 7 2 2
0 31 2 2
1 0 1 2
-7 18 2 1
-10 31 2 2
3 13 1 2
1 23 1 2
-3 38 2 2
-5 9 2 2
-1 29 2 2
15 -8 1 1
7 14 1 2
2 14 1 2
6 8 1 2
4 17 1 2
1 30 1 2
-2 7 2 2
