Br Usd Category Group
2 3 1 1
0 16 2 1
4 14 1 2
-20 29 2 1
-22 53 2 2
-9 25 2 2
4 -3 1 1
-14 26 2 2
-8 25 2 2
-4 16 2 2
2 -29 1 1
8 -25 1 2
-5 2 2 2
-4 10 2 2
-2 7 2 2
4 2 1 1
14 -32 1 2
10 -14 1 2
1 1 1 2
0 6 2 2
1 5 1 2
2 -20 1 1
-2 -20 2 2
4 -27 1 2
5 -16 1 2
-1 -5 2 2
-1 1 2 2
0 0 2 2
-6 -28 2 1
-2 -48 2 2
-3 -24 2 2
1 -27 1 2
2 -19 1 2
-2 -10 2 2
-2 -4 2 2
-10 59 2 1
-16 31 2 2
-6 5 2 2
-5 4 2 2
-1 -6 2 2
0 -4 2 2
-3 2 2 2
-24 -14 2 1
-35 45 2 2
-21 8 2 2
-12 -1 2 2
-10 -1 2 2
-6 -7 2 2
-4 -5 2 2
12 0 1 1
-12 -14 2 2
-12 23 2 2
-10 6 2 2
-6 -1 2 2
-6 -1 2 2
-3 -6 2 2
33 6 1 1
47 10 1 2
12 -2 1 2
4 18 1 2
1 7 1 2
2 1 1 2
1 1 1 2
-16 67 2 1
16 83 1 2
15 43 1 2
2 24 1 2
-1 33 2 2
-2 21 2 2
-1 14 2 2
-37 8 2 1
-53 79 2 2
-11 47 2 2
-3 33 2 2
-8 21 2 2
-9 29 2 2
-8 19 2 2
-22 -1 2 1
-57 3 2 2
-36 37 2 2
-14 30 2 2
-7 23 2 2
-10 16 2 2
-10 23 2 2
0 8 2 1
-24 8 2 2
-29 6 2 2
-25 27 2 2
-11 24 2 2
-6 20 2 2
-9 15 2 2
12 -29 1 1
12 -28 1 2
-6 -14 2 2
-16 -8 2 2
-16 11 2 2
-6 12 2 2
-3 11 2 2
-41 -4 2 1
-28 -28 2 2
-14 -13 2 2
-17 -9 2 2
-22 -6 2 2
-20 9 2 2
-12 10 2 2
-28 22 2 1
-65 23 2 2
-26 0 2 2
-17 0 2 2
-19 0 2 2
-22 1 2 2
-21 12 2 2
28 7 1 1
-6 33 2 2
-22 17 2 2
-10 3 2 2
-7 3 2 2
-11 2 2 2
-15 2 2 2
20 3 1 1
46 16 1 2
6 21 1 2
-9 15 2 2
-3 5 2 2
-2 4 2 2
-6 3 2 2
10 30 1 1
30 16 1 2
28 14 1 2
7 18 1 2
-4 14 2 2
0 6 2 2
0 6 2 2
-22 -9 2 1
-16 18 2 2
2 2 1 2
10 5 1 2
-1 11 2 2
-8 9 2 2
-5 3 2 2
14 -25 1 1
-12 -28 2 2
-3 -1 2 2
5 -5 1 2
10 -1 1 2
1 5 1 2
-5 4 2 2
