Br Usd Category Group
-14 -16 2 1
-10 -4 2 1
-19 -16 2 2
-31 25 2 1
-41 20 2 2
-25 4 2 2
6 -3 1 1
-29 25 2 2
-19 10 2 2
-16 3 2 2
17 -6 1 1
23 -8 1 2
-6 10 2 2
-7 5 2 2
-8 1 2 2
14 -4 1 1
31 -10 1 2
18 -6 1 2
1 5 1 2
-2 3 2 2
-3 0 2 2
-2 1 2 1
12 -3 1 2
15 -4 1 2
12 -4 1 2
0 4 2 2
-2 2 2 2
-3 0 2 2
-2 -7 2 1
-8 -5 2 2
3 -4 1 2
8 -5 1 2
7 -4 1 2
-1 2 2 2
-3 1 2 2
-14 19 2 1
-15 12 2 2
-11 7 2 2
-3 3 2 2
2 1 1 2
3 0 1 2
-3 5 2 2
-10 26 2 1
-23 44 2 2
-13 18 2 2
-10 13 2 2
-4 9 2 2
0 6 2 2
1 4 1 2
8 5 1 1
0 31 2 2
-7 25 2 2
-5 14 2 2
-5 11 2 2
-2 8 2 2
2 6 1 2
4 -19 1 1
12 -12 1 2
2 7 1 2
-3 11 2 2
-3 6 2 2
-3 5 2 2
-1 4 2 2
-6 -1 2 1
-2 -22 2 2
3 -8 1 2
-1 4 2 2
-4 7 2 2
-3 4 2 2
-4 4 2 2
12 8 1 1
4 7 1 2
4 -7 1 2
5 -2 1 2
2 5 1 2
-1 7 2 2
-1 5 2 2
12 -9 1 1
27 -1 1 2
10 -1 1 2
8 -8 1 2
8 -4 1 2
5 2 1 2
2 5 1 2
17 1 1 1
29 -6 1 2
22 0 1 2
12 0 1 2
10 -5 1 2
10 -3 1 2
7 2 1 2
27 -11 1 1
44 -13 1 2
28 -10 1 2
24 -4 1 2
16 -4 1 2
14 -7 1 2
13 -5 1 2
15 -14 1 1
44 -22 1 2
31 -12 1 2
25 -10 1 2
22 -6 1 2
16 -5 1 2
14 -8 1 2
-10 7 2 1
8 -9 1 2
18 -9 1 2
18 -7 1 2
16 -7 1 2
16 -4 1 2
12 -4 1 2
4 6 1 1
-4 12 2 2
7 -2 1 2
14 -4 1 2
15 -4 1 2
14 -4 1 2
15 -3 1 2
-35 -6 2 1
-31 1 2 2
-19 4 2 2
-7 -3 2 2
2 -5 1 2
5 -4 1 2
6 -5 1 2
19 0 1 1
-13 -5 2 2
-5 1 2 2
-6 2 2 2
0 -2 2 2
6 -4 1 2
8 -3 1 2
-12 3 2 1
8 3 1 2
-12 -1 2 2
-7 1 2 2
-7 2 2 2
-2 -1 2 2
3 -3 1 2
27 2 1 1
15 8 1 2
17 4 1 2
1 1 1 2
1 2 1 2
0 3 2 2
3 0 1 2
