Br Usd Category Group
-15 -3 2 1
24 -4 1 1
7 -7 1 2
-29 2 2 1
0 -2 2 2
-8 -3 2 2
17 -17 1 1
-15 -15 2 2
7 -9 1 2
-1 -7 2 2
46 -9 1 1
63 -25 1 2
16 -11 1 2
20 -9 1 2
11 -7 1 2
26 -27 1 1
74 -36 1 2
45 -26 1 2
20 -17 1 2
22 -13 1 2
14 -11 1 2
15 -12 1 1
35 -38 1 2
41 -24 1 2
33 -21 1 2
17 -15 1 2
20 -13 1 2
13 -11 1 2
22 -8 1 1
37 -20 1 2
28 -23 1 2
35 -19 1 2
30 -18 1 2
18 -14 1 2
20 -12 1 2
-42 7 2 1
-22 -1 2 2
-4 -6 2 2
4 -13 1 2
15 -12 1 2
15 -13 1 2
8 -10 1 2
-22 19 2 1
-64 26 2 2
-22 9 2 2
-10 2 2 2
-2 -5 2 2
8 -6 1 2
9 -8 1 2
38 -19 1 1
20 4 1 2
-11 5 2 2
-1 1 2 2
3 -2 1 2
7 -7 1 2
13 -8 1 2
-33 36 2 1
7 15 1 2
-5 19 2 2
-18 15 2 2
-8 9 2 2
-4 5 2 2
0 0 2 2
0 -15 2 1
-33 22 2 2
4 1 1 2
-4 8 2 2
-13 8 2 2
-7 5 2 2
-3 2 2 2
20 11 1 1
22 -6 1 2
-5 16 2 2
10 3 1 2
3 8 1 2
-6 8 2 2
-2 5 2 2
2 6 1 1
26 20 1 2
14 2 1 2
-2 14 2 2
9 5 1 2
3 9 1 2
-4 8 2 2
71 -57 1 1
73 -52 1 2
48 -19 1 2
33 -18 1 2
16 -4 1 2
21 -8 1 2
15 -3 1 2
53 -37 1 1
126 -91 1 2
64 -43 1 2
51 -24 1 2
38 -22 1 2
24 -10 1 2
27 -12 1 2
-14 2 2 1
40 -37 1 2
57 -45 1 2
38 -28 1 2
35 -18 1 2
28 -18 1 2
18 -8 1 2
2 16 1 1
-13 14 2 2
21 -12 1 2
38 -26 1 2
29 -18 1 2
28 -12 1 2
24 -13 1 2
18 -14 1 1
18 0 1 2
2 0 1 2
19 -13 1 2
33 -23 1 2
27 -18 1 2
26 -12 1 2
40 -48 1 1
61 -66 1 2
31 -26 1 2
16 -18 1 2
25 -23 1 2
35 -29 1 2
30 -23 1 2
-11 26 2 1
31 -24 1 2
26 -21 1 2
17 -9 1 2
9 -7 1 2
18 -14 1 2
28 -20 1 2
-23 18 2 1
-34 42 2 2
4 -5 1 2
10 -9 1 2
7 -3 1 2
3 -3 1 2
11 -9 1 2
11 -5 1 1
-7 13 2 2
-9 19 2 2
8 -5 1 2
11 -8 1 2
9 -4 1 2
5 -3 1 2
