Br Usd Category Group
-14 -12 2 1
-47 18 2 1
-62 9 2 2
33 13 1 1
-18 34 2 2
-17 13 2 2
2 29 1 1
35 42 1 2
-8 32 2 2
-10 18 2 2
6 -21 1 1
2 11 1 2
18 12 1 2
-5 15 2 2
-8 9 2 2
-35 -31 2 1
-29 -52 2 2
-17 -10 2 2
0 -2 2 2
-13 4 2 2
-13 1 2 2
24 -25 1 1
-16 -56 2 2
-5 -39 2 2
-5 -15 2 2
5 -8 1 2
-6 -2 2 2
-8 -3 2 2
20 1 1 1
41 -30 1 2
1 -31 1 2
3 -27 1 2
1 -13 1 2
7 -8 1 2
-2 -3 2 2
-12 -34 2 1
6 -28 1 2
14 -30 1 2
-4 -30 2 2
-1 -28 2 2
-2 -16 2 2
4 -11 1 2
14 -47 1 1
0 -72 2 2
9 -33 1 2
13 -33 1 2
0 -32 2 2
1 -30 1 2
0 -20 2 2
12 30 1 1
25 -17 1 2
6 -21 1 2
10 -12 1 2
13 -17 1 2
2 -20 1 2
3 -20 1 2
37 -37 1 1
51 -8 1 2
32 -27 1 2
17 -26 1 2
17 -18 1 2
18 -21 1 2
8 -23 1 2
-2 -25 2 1
37 -56 1 2
25 -13 1 2
22 -24 1 2
13 -25 1 2
14 -19 1 2
15 -21 1 2
-16 -57 2 1
-19 -88 2 2
10 -60 1 2
11 -30 1 2
12 -34 1 2
7 -32 1 2
8 -26 1 2
0 -47 2 1
-16 -96 2 2
-10 -63 2 2
7 -53 1 2
8 -32 1 2
9 -35 1 2
6 -33 1 2
18 80 1 1
14 33 1 2
-1 -8 2 2
-2 -16 2 2
8 -20 1 2
9 -10 1 2
10 -16 1 2
-21 34 2 1
-4 107 2 2
-4 30 2 2
-8 3 2 2
-7 -5 2 2
2 -11 1 2
4 -4 1 2
-18 17 2 1
-37 50 2 2
-10 61 2 2
-8 25 2 2
-10 6 2 2
-9 -1 2 2
-1 -6 2 2
-20 15 2 1
-35 32 2 2
-27 33 2 2
-12 46 2 2
-10 23 2 2
-11 8 2 2
-10 2 2 2
-49 34 2 1
-68 48 2 2
-42 32 2 2
-34 33 2 2
-21 43 2 2
-18 25 2 2
-18 12 2 2
8 -8 1 1
-37 18 2 2
-28 16 2 2
-24 16 2 2
-23 20 2 2
-15 31 2 2
-13 18 2 2
2 -39 1 1
10 -55 1 2
-18 -14 2 2
-18 -5 2 2
-18 0 2 2
-18 7 2 2
-12 18 2 2
24 77 1 1
29 41 1 2
19 12 1 2
-3 17 2 2
-7 16 2 2
-9 16 2 2
-10 19 2 2
27 -33 1 1
53 36 1 2
29 0 1 2
22 -5 1 2
5 2 1 2
0 5 2 2
-2 7 2 2
