Br Usd Category Group
4 -5 1 1
2 7 1 1
10 2 1 2
37 1 1 1
37 11 1 2
22 3 1 2
2 2 1 1
43 2 1 2
21 6 1 2
17 2 1 2
-33 1 2 1
-35 3 2 2
3 1 1 2
2 4 1 2
4 2 1 2
-4 -4 2 1
-33 -3 2 2
-17 0 2 2
2 0 1 2
2 2 1 2
3 1 1 2
6 0 1 1
4 -3 1 2
-12 -1 2 2
-9 0 2 2
4 0 1 2
3 2 1 2
4 1 1 2
4 3 1 1
10 2 1 2
4 0 1 2
-7 0 2 2
-6 1 2 2
4 0 1 2
3 2 1 2
16 3 1 1
20 4 1 2
13 2 1 2
8 0 1 2
-1 0 2 2
-1 1 2 2
6 1 1 2
8 -1 1 1
24 4 1 2
14 2 1 2
12 1 1 2
8 0 1 2
1 0 1 2
0 1 2 2
-16 1 2 1
-8 1 2 2
4 3 1 2
4 2 1 2
5 1 1 2
3 0 1 2
-2 1 2 2
24 4 1 1
8 6 1 2
8 3 1 2
11 3 1 2
9 2 1 2
9 2 1 2
7 1 1 2
-8 22 2 1
20 26 1 2
2 14 1 2
4 9 1 2
7 8 1 2
7 6 1 2
6 5 1 2
0 17 2 1
-4 41 2 2
12 23 1 2
3 16 1 2
4 12 1 2
7 10 1 2
6 9 1 2
0 18 2 1
0 35 2 2
-2 30 2 2
8 21 1 2
2 16 1 2
3 13 1 2
5 12 1 2
20 -17 1 1
20 0 1 2
10 8 1 2
5 14 1 2
11 11 1 2
6 9 1 2
6 8 1 2
-8 61 2 1
16 45 1 2
8 31 1 2
5 26 1 2
3 26 1 2
8 22 1 2
4 18 1 2
6 -3 1 1
-2 58 2 2
11 21 1 2
7 20 1 2
6 19 1 2
4 20 1 2
8 17 1 2
6 4 1 1
10 -2 1 2
1 29 1 2
9 14 1 2
7 15 1 2
5 15 1 2
4 17 1 2
-4 13 2 1
8 15 1 2
6 5 1 2
1 23 1 2
7 14 1 2
6 14 1 2
5 15 1 2
-6 -1 2 1
-10 11 2 2
1 7 1 2
2 2 1 2
-1 17 2 2
4 10 1 2
4 12 1 2
8 -25 1 1
2 -24 1 2
-1 -6 2 2
3 -3 1 2
4 -4 1 2
1 9 1 2
5 5 1 2
-2 10 2 1
8 -15 1 2
1 -7 1 2
-1 -1 2 2
3 0 1 2
3 -1 1 2
1 9 1 2
-4 8 2 1
-4 18 2 2
3 -3 1 2
0 -2 2 2
-1 2 2 2
2 2 1 2
2 0 1 2
