moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-03-10;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;25,000;45,000;785,00;740,00;-909,00;-17,000;-0,53660;-0,02246;
2016-03-10;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;4,0000;4,0000;1053,0;1098,0;-567,00;-1459,0;-0,35000;-0,57059;
2016-03-10;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;89,000;76,000;245102;234529;20417;-17015;0,09087;-0,06764;
2016-03-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;8,0000;39,000;28452;26127;8466,0;8114,0;0,42360;0,45045;
2016-03-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;221,00;166,00;1862,0;4187,0;28,000;380,00;0,01527;0,09982;
2016-03-10;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;4837,0;2311,0;136148;146721;-15585;21847;-0,10271;0,17495;
2016-03-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;193,00;155,00;2313,0;2626,0;50,000;187,00;0,02209;0,07667;
2016-03-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;5,0000;11,000;22019;21706;21831;21694;116,12;1807,8;
2016-03-10;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;7,0000;6,0000;573,00;816,00;-11,000;-3,0000;-0,01884;-0,00366;
2016-03-10;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;;;60,000;;;;;
2016-03-10;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;;1,0000;2,0000;110,00;50,000;;;;;
2016-03-10;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;18,000;43,000;398,00;155,00;4,0000;-4,0000;0,01015;-0,02516;
