moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-09-22;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;3,0000;3,0000;252,00;1955,0;-330,00;749,00;-0,56701;0,62106;
2016-09-22;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;28,000;72,000;2041,0;338,00;909,00;-170,00;0,80300;-0,33465;
2016-09-22;BR;"Опцион на фьючерс на нефть сорта ""BRENT""";C;;81,000;99,000;20823;13672;-49,000;2111,0;-0,00235;0,18260;
2016-09-22;BR;"Опцион на фьючерс на нефть сорта ""BRENT""";C;1,0000;482,00;302,00;19745;26896;931,00;-1229,0;0,04948;-0,04370;
2016-09-22;BR;"Опцион на фьючерс на нефть сорта ""BRENT""";P;;74,000;96,000;21985;17065;312,00;223,00;0,01440;0,01324;
2016-09-22;BR;"Опцион на фьючерс на нефть сорта ""BRENT""";P;1,0000;425,00;330,00;19365;24285;584,00;673,00;0,03110;0,02850;
2016-09-22;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;102,00;79,000;159299;45403;-33312;-4417,0;-0,17295;-0,08866;
2016-09-22;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;3368,0;2122,0;112638;226534;12733;-16162;0,12745;-0,06659;
2016-09-22;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;4,0000;4,0000;223,00;416,00;123,00;-85,000;1,2300;-0,16966;
2016-09-22;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;18,000;73,000;378,00;185,00;-181,00;27,000;-0,32379;0,17089;
2016-09-22;CHMF;"Опцион на фьючерс на обыкновенные акции ОАО ""Северсталь""";P;;1,0000;;;1,0000;;;;;
2016-09-22;CHMF;"Опцион на фьючерс на обыкновенные акции ОАО ""Северсталь""";P;1,0000;;1,0000;1,0000;;;;;;
2016-09-22;CU;Фьючерсный контракт на медь;F;1,0000;6,0000;6,0000;68,000;68,000;-1,0000;-1,0000;-0,01449;-0,01449;
2016-09-22;ED;Фьючерсный контракт на курс евро-доллар США;F;;21,000;18,000;9749,0;28465;7042,0;14369;2,6014;1,0194;
2016-09-22;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;187,00;368,00;24197;5481,0;4441,0;-2886,0;0,22479;-0,34493;
2016-09-22;ED;Опцион на фьючерс на курс евро-доллар;C;;;1,0000;271,00;;;;;;
2016-09-22;ED;Опцион на фьючерс на курс евро-доллар;C;1,0000;3,0000;2,0000;2,0000;273,00;;;;;
2016-09-22;Eu;Опцион на фьючерс на курс евро-рубль;C;;12,000;13,000;26829;26833;-10,000;;-0,00037;;
2016-09-22;Eu;Опцион на фьючерс на курс евро-рубль;C;1,0000;2,0000;4,0000;22,000;18,000;14,000;4,0000;1,7500;0,28571;
2016-09-22;Eu;Опцион на фьючерс на курс евро-рубль;P;;2,0000;2,0000;6000,0;6001,0;;;;;
2016-09-22;Eu;Опцион на фьючерс на курс евро-рубль;P;1,0000;1,0000;3,0000;5,0000;4,0000;4,0000;4,0000;4,0000;;
2016-09-22;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;62,000;42,000;44840;40750;-189,00;-1396,0;-0,00420;-0,03312;
2016-09-22;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;443,00;350,00;8833,0;12923;-2360,0;-1153,0;-0,21085;-0,08191;
2016-09-22;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;5,0000;4,0000;7207,0;420,00;-3084,0;225,00;-0,29968;1,1539;
2016-09-22;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;119,00;55,000;2350,0;9137,0;-186,00;-3495,0;-0,07334;-0,27668;
2016-09-22;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;83,000;49,000;248393;42902;9800,0;3151,0;0,04107;0,07927;
2016-09-22;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1493,0;313,00;12546;218037;-1027,0;5622,0;-0,07566;0,02647;
2016-09-22;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;38,000;42,000;6919,0;5925,0;162,00;-23,000;0,02398;-0,00387;
2016-09-22;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;197,00;138,00;9974,0;10968;631,00;816,00;0,06754;0,08038;
2016-09-22;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;31,000;33,000;8524,0;3557,0;147,00;-59,000;0,01755;-0,01632;
2016-09-22;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;99,000;96,000;10609;15576;164,00;370,00;0,01570;0,02433;
2016-09-22;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;;10,000;3,0000;8157,0;5464,0;-1517,0;257,00;-0,15681;0,04936;
2016-09-22;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;1,0000;146,00;29,000;307,00;3000,0;125,00;-1649,0;0,68681;-0,35470;
2016-09-22;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;;35,000;24,000;2439,0;1506,0;172,00;61,000;0,07587;0,04221;
2016-09-22;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;1,0000;123,00;90,000;544,00;1477,0;84,000;195,00;0,18261;0,15211;
2016-09-22;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;58,000;28,000;94390;85081;-1275,0;3806,0;-0,01333;0,04683;
2016-09-22;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;1020,0;370,00;10822;20131;3519,0;-1562,0;0,48186;-0,07200;
2016-09-22;GOLD;Опцион на фьючерс на золото в слитках;C;;2,0000;5,0000;113,00;6,0000;3,0000;;0,02727;;
2016-09-22;GOLD;Опцион на фьючерс на золото в слитках;C;1,0000;34,000;27,000;233,00;340,00;12,000;15,000;0,05430;0,04615;
2016-09-22;GOLD;Опцион на фьючерс на золото в слитках;P;;;5,0000;178,00;;;;;;
2016-09-22;GOLD;Опцион на фьючерс на золото в слитках;P;1,0000;25,000;20,000;263,00;441,00;3,0000;3,0000;0,01154;0,00685;
2016-09-22;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;;6,0000;14,000;17643;1124,0;-54,000;244,00;-0,00305;0,27727;
2016-09-22;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;1,0000;144,00;97,000;3369,0;19888;100,00;-198,00;0,03059;-0,00986;
2016-09-22;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;41,000;35,000;7023,0;15736;401,00;1399,0;0,06056;0,09758;
2016-09-22;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;120,00;415,00;10750;2037,0;1485,0;487,00;0,16028;0,31419;
2016-09-22;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;5,0000;6,0000;1247,0;796,00;287,00;-24,000;0,29896;-0,02927;
2016-09-22;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;1,0000;14,000;9,0000;436,00;887,00;325,00;636,00;2,9279;2,5339;
2016-09-22;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;;5,0000;14,000;4621,0;3894,0;135,00;-60,000;0,03009;-0,01517;
2016-09-22;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;1,0000;20,000;11,000;332,00;1059,0;-20,000;175,00;-0,05682;0,19796;
2016-09-22;MGNT;"Фьючерсный контракт на обыкновенные акции ПАО ""Магнит""";F;;10,000;8,0000;2244,0;18383;568,00;573,00;0,33890;0,03217;
2016-09-22;MGNT;"Фьючерсный контракт на обыкновенные акции ПАО ""Магнит""";F;1,0000;67,000;162,00;17236;1097,0;-84,000;-89,000;-0,00485;-0,07504;
2016-09-22;MIX;Фьючерсный контракт на Индекс ММВБ;F;;15,000;39,000;2788,0;5387,0;-199,00;-126,00;-0,06662;-0,02286;
2016-09-22;MIX;Фьючерсный контракт на Индекс ММВБ;F;1,0000;119,00;293,00;3812,0;1213,0;99,000;26,000;0,02666;0,02190;
2016-09-22;MIX;Опцион на фьючерс на Индекс ММВБ;C;;;1,0000;4,0000;;;;;;
2016-09-22;MIX;Опцион на фьючерс на Индекс ММВБ;C;1,0000;1,0000;3,0000;16,000;20,000;;;;;
2016-09-22;MIX;Опцион на фьючерс на Индекс ММВБ;P;1,0000;6,0000;7,0000;167,00;167,00;;;;;
2016-09-22;MOEX;Опцион на фьючерс на обыкновенные акции ПАО Московская Биржа;C;;1,0000;;;9,0000;;;;;
2016-09-22;MOEX;Опцион на фьючерс на обыкновенные акции ПАО Московская Биржа;C;1,0000;;1,0000;9,0000;;;;;;
2016-09-22;MOEX;Фьючерсный контракт на обыкновенные акции ПАО Московская Биржа;F;;9,0000;4,0000;633,00;1118,0;1,0000;230,00;0,00158;0,25901;
2016-09-22;MOEX;Фьючерсный контракт на обыкновенные акции ПАО Московская Биржа;F;1,0000;57,000;44,000;1543,0;1058,0;113,00;-116,00;0,07902;-0,09881;
2016-09-22;MTSI;"Опцион на фьючерс на обыкновенные акции ПАО ""МТС""";P;1,0000;2,0000;2,0000;6,0000;6,0000;;;;;
2016-09-22;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;;5,0000;5,0000;1282,0;309,00;30,000;11,000;0,02396;0,03691;
2016-09-22;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;1,0000;84,000;16,000;301,00;1274,0;-17,000;2,0000;-0,05346;0,00157;
2016-09-22;MXI;Фьючерсный контракт на Индекс ММВБ (мини);F;;22,000;19,000;5686,0;23386;-1462,0;5851,0;-0,20453;0,33368;
2016-09-22;MXI;Фьючерсный контракт на Индекс ММВБ (мини);F;1,0000;215,00;404,00;21966;4266,0;4682,0;-2631,0;0,27089;-0,38147;
2016-09-22;MXI;Опцион на фьючерс на Индекс ММВБ (мини);C;;15,000;20,000;6144,0;6182,0;371,00;326,00;0,06426;0,05567;
2016-09-22;MXI;Опцион на фьючерс на Индекс ММВБ (мини);C;1,0000;40,000;43,000;4976,0;4938,0;296,00;341,00;0,06325;0,07418;
2016-09-22;MXI;Опцион на фьючерс на Индекс ММВБ (мини);P;;16,000;18,000;7086,0;2841,0;-813,00;1471,0;-0,10292;1,0737;
2016-09-22;MXI;Опцион на фьючерс на Индекс ММВБ (мини);P;1,0000;51,000;38,000;3241,0;7486,0;363,00;-1921,0;0,12613;-0,20421;
2016-09-22;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;;3,0000;3,0000;664,00;632,00;610,00;446,00;11,296;2,3979;
2016-09-22;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;1,0000;17,000;40,000;555,00;587,00;70,000;234,00;0,14433;0,66289;
2016-09-22;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;;3,0000;5,0000;371,00;163,00;27,000;64,000;0,07849;0,64646;
2016-09-22;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;1,0000;13,000;25,000;91,000;299,00;26,000;-11,000;0,40000;-0,03548;
2016-09-22;OF10;"Фьючерсный контракт на ""десятилетние"" облигации федерального займа";F;;2,0000;3,0000;3390,0;3631,0;;;;;
2016-09-22;OF10;"Фьючерсный контракт на ""десятилетние"" облигации федерального займа";F;1,0000;9,0000;7,0000;551,00;310,00;5,0000;5,0000;0,00916;0,01639;
2016-09-22;OF15;"Фьючерсный контракт на ""пятнадцатилетние"" облигации федерального займа";F;;2,0000;1,0000;165,00;2694,0;;;;;
2016-09-22;OF15;"Фьючерсный контракт на ""пятнадцатилетние"" облигации федерального займа";F;1,0000;16,000;18,000;4070,0;1541,0;8,0000;8,0000;0,00197;0,00522;
2016-09-22;OFZ2;"Фьючерсный контракт на ""двухлетние"" облигации федерального займа";F;;1,0000;;;17,000;;;;;
2016-09-22;OFZ2;"Фьючерсный контракт на ""двухлетние"" облигации федерального займа";F;1,0000;4,0000;3,0000;25,000;8,0000;-8,0000;-8,0000;-0,24242;-0,50000;
