moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-06-27;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;24,000;12,000;158,00;340,00;-110,00;-81,000;-0,41045;-0,19240;
2016-06-27;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;3,0000;2,0000;694,00;512,00;-7,0000;-36,000;-0,00999;-0,06569;
2016-06-27;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;2626,0;1645,0;50623;149873;-25169;32237;-0,33208;0,27404;
2016-06-27;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;3,0000;6,0000;33322;33227;-3361,0;2018,0;-0,09162;0,06466;
2016-06-27;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;83,000;67,000;136348;37098;36121;-21285;0,36039;-0,36458;
2016-06-27;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;54,000;40,000;635,00;730,00;-6373,0;-11752;-0,90939;-0,94152;
2016-06-27;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;54,000;44,000;558,00;558,00;-5744,0;-6904,0;-0,91146;-0,92522;
2016-06-27;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;4,0000;4,0000;30146;30146;-4682,0;-3522,0;-0,13443;-0,10461;
2016-06-27;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-06-27;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;32,000;33,000;180,00;213,00;16,000;31,000;0,09756;0,17033;
2016-06-27;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;4,0000;3,0000;111,00;78,000;10,000;-5,0000;0,09901;-0,06024;
2016-06-27;CU;Фьючерсный контракт на медь;F;1,0000;8,0000;8,0000;35,000;39,000;-37,000;-37,000;-0,51389;-0,48684;
2016-06-27;CU;Фьючерсный контракт на медь;F;;;1,0000;4,0000;;;;;;
2016-06-27;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;2,0000;;;;;
2016-06-27;ED;Фьючерсный контракт на курс евро-доллар США;F;;27,000;21,000;10631;25598;-6903,0;-12278;-0,39369;-0,32416;
2016-06-27;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;10,000;11,000;154,00;154,00;1,0000;1,0000;0,00654;0,00654;
2016-06-27;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;306,00;400,00;22623;7656,0;-3324,0;2051,0;-0,12811;0,36592;
2016-06-27;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;;;1,0000;250,00;;;;;;
2016-06-27;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;12,000;11,000;56,000;306,00;;;;;
2016-06-27;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;85,000;53,000;85821;80423;13911;10124;0,19345;0,14401;
2016-06-27;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;439,00;447,00;7720,0;13118;-3784,0;3,0000;-0,32893;0,00023;
2016-06-27;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;6,0000;9,0000;1210,0;1200,0;;;;;
2016-06-27;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;5,0000;3,0000;30995;31005;;;;;
2016-06-27;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;6,0000;6,0000;1100,0;1100,0;;;;;
2016-06-27;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;63,000;93,000;3091,0;3453,0;306,00;-103,00;0,10987;-0,02897;
2016-06-27;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;;1,0000;;;5,0000;;;;;
2016-06-27;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";P;1,0000;1,0000;1,0000;16,000;16,000;;;;;
2016-06-27;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;5,0000;8,0000;1128,0;766,00;-406,00;3,0000;-0,26467;0,00393;
2016-06-27;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;1,0000;;1,0000;5,0000;;;;;;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;221,00;109,00;5935,0;9272,0;321,00;865,00;0,05718;0,10289;
2016-06-27;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1319,0;454,00;18877;123966;2336,0;8210,0;0,14122;0,07093;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;25,000;62,000;6172,0;2835,0;506,00;-38,000;0,08930;-0,01323;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;38,000;46,000;10583;10887;91,000;35,000;0,00867;0,00323;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;120,00;114,00;4754,0;4450,0;94,000;150,00;0,02017;0,03488;
2016-06-27;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;83,000;57,000;162804;57715;5528,0;-346,00;0,03515;-0,00596;
2016-06-27;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;1,0000;278,00;38,000;760,00;7459,0;-1430,0;3960,0;-0,65297;1,1318;
2016-06-27;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;;12,000;6,0000;8309,0;1610,0;4160,0;-1230,0;1,0027;-0,43310;
2016-06-27;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;;23,000;33,000;6301,0;1256,0;288,00;453,00;0,04790;0,56413;
2016-06-27;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;1,0000;251,00;66,000;561,00;5606,0;-103,00;-268,00;-0,15512;-0,04562;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";C;;4,0000;3,0000;19,000;8,0000;10,000;;1,1111;;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";C;1,0000;1,0000;4,0000;10,000;21,000;5,0000;15,000;1,0000;2,5000;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;;5,0000;3,0000;32,000;36,000;;;;;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;1,0000;2,0000;3,0000;17,000;13,000;;;;;
2016-06-27;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;4042,0;536,00;8983,0;43842;709,00;852,00;0,08569;0,01982;
2016-06-27;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;67,000;27,000;97543;62684;1236,0;1093,0;0,01283;0,01775;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;1,0000;39,000;35,000;646,00;809,00;4,0000;4,0000;0,00623;0,00497;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;;;8,0000;103,00;;;;;;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;;;7,0000;163,00;;;;;;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;1,0000;33,000;30,000;546,00;649,00;2,0000;2,0000;0,00368;0,00309;
2016-06-27;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;;6,0000;8,0000;4140,0;262,00;192,00;19,000;0,04863;0,07819;
2016-06-27;HYDR;"Опцион на фьючерс на обыкновенные акции ПАО ""РусГидро""";P;1,0000;2,0000;2,0000;41,000;41,000;;;;;
2016-06-27;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;1,0000;130,00;29,000;609,00;4487,0;31,000;204,00;0,05363;0,04763;
