moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-03-07;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;556,00;240,00;1759393;1135586;3338,0;-59643;0,00190;-0,04990;
2017-03-07;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;11247;6437,0;212660;836467;-44773;18208;-0,17392;0,02225;
2017-03-07;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;135,00;75,000;453964;86308;17867;3078,0;0,04097;0,03698;
2017-03-07;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;2813,0;541,00;23595;391251;-658,00;14131;-0,02713;0,03747;
2017-03-07;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;37,000;108,00;25832;2833,0;1609,0;32,000;0,06642;0,01142;
2017-03-07;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;549,00;304,00;17266;40265;2101,0;3678,0;0,13854;0,10053;
2017-03-07;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;22,000;39,000;11448;7049,0;14,000;5,0000;0,00122;0,00071;
2017-03-07;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;156,00;193,00;6220,0;10619;246,00;255,00;0,04118;0,02460;
2017-03-07;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;2,0000;12,000;5390,0;1644,0;166,00;25,000;0,03178;0,01544;
2017-03-07;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;108,00;28,000;190,00;3936,0;9,0000;150,00;0,04972;0,03962;
2017-03-07;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;75,000;29,000;19875;7251,0;-1934,0;-2470,0;-0,08868;-0,25409;
