moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-04-26;ALSI;Фьючерсный контракт на Индекс FTSE/JSE Top40;F;;1,0000;;;1,0000;;;;;
2016-04-26;ALSI;Фьючерсный контракт на Индекс FTSE/JSE Top40;F;1,0000;;1,0000;1,0000;;;;;;
2016-04-26;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;4,0000;5,0000;2540,0;3147,0;210,00;42,000;0,09013;0,01353;
2016-04-26;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;13,000;42,000;827,00;220,00;-192,00;-24,000;-0,18842;-0,09836;
2016-04-26;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;249,00;175,00;8570,0;5672,0;379,00;84,000;0,04627;0,01503;
2016-04-26;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;368,00;184,00;5333,0;9189,0;746,00;303,00;0,16263;0,03410;
2016-04-26;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;86,000;93,000;261101;277826;40076;93490;0,18132;0,50717;
2016-04-26;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;14,000;25,000;19906;16050;-394,00;49,000;-0,01941;0,00306;
2016-04-26;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;13,000;36,000;57872;60770;-334,00;-39,000;-0,00574;-0,00064;
2016-04-26;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;4695,0;3348,0;176343;159618;30557;-22857;0,20960;-0,12526;
2016-04-26;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;19,000;96,000;779,00;97,000;-274,00;-14,000;-0,26021;-0,12613;
2016-04-26;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;5,0000;6,0000;495,00;1177,0;223,00;-37,000;0,81985;-0,03048;
2016-04-26;CU;Фьючерсный контракт на медь;F;1,0000;7,0000;5,0000;76,000;80,000;2,0000;2,0000;0,02703;0,02564;
2016-04-26;CU;Фьючерсный контракт на медь;F;;;1,0000;4,0000;;;;;;
2016-04-26;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;;1,0000;10,000;;;;;;
2016-04-26;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;1,0000;2,0000;1,0000;2,0000;12,000;;;;;
2016-04-26;ED;Фьючерсный контракт на курс евро-доллар США;F;;22,000;32,000;28380;40421;5057,0;3838,0;0,21682;0,10491;
2016-04-26;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;293,00;714,00;26597;14556;1439,0;2658,0;0,05720;0,22340;
2016-04-26;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;9,0000;8,0000;97,000;97,000;10,000;10,000;0,11494;0,11494;
2016-04-26;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;6,0000;7,0000;10,000;10,000;;;;;
2016-04-26;EUPM;"Фьючерсный контракт на индекс э/э в хабе ""Урал"" (пиковые часы суток)";F;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-04-26;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;3,0000;4,0000;22739;22750;;;;;
2016-04-26;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;72,000;60,000;48622;51898;-856,00;3164,0;-0,01730;0,06492;
2016-04-26;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;2,0000;2,0000;400,00;400,00;;;;;
2016-04-26;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;505,00;503,00;13794;10518;3137,0;-883,00;0,29436;-0,07745;
2016-04-26;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;1,0000;3,0000;13,000;2,0000;;;;;
2016-04-26;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;3,0000;6,0000;744,00;327,00;52,000;2,0000;0,07514;0,00615;
2016-04-26;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;40,000;49,000;902,00;1319,0;-94,000;-44,000;-0,09438;-0,03228;
2016-04-26;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;48,000;49,000;8090,0;4636,0;179,00;-171,00;0,02263;-0,03557;
2016-04-26;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;131,00;53,000;93744;67818;20993;20860;0,28856;0,44423;
2016-04-26;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;173,00;99,000;5446,0;8900,0;502,00;852,00;0,10154;0,10586;
2016-04-26;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;160,00;111,00;8521,0;8459,0;588,00;295,00;0,07412;0,03613;
