moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-04-19;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;513,00;158,00;1750581;870559;143907;-37363;0,08957;-0,04115;
2017-04-19;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;13871;2370,0;107983;988005;-65924;115346;-0,37908;0,13218;
2017-04-19;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;80,000;57,000;540396;119053;-5204,0;-5908,0;-0,00954;-0,04728;
2017-04-19;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;3221,0;523,00;18734;440077;-481,00;223,00;-0,02503;0,00051;
2017-04-19;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;27,000;55,000;6584,0;2137,0;-24509;-6289,0;-0,78825;-0,74638;
2017-04-19;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;339,00;172,00;15017;19464;-14145;-32365;-0,48505;-0,62446;
2017-04-19;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;13,000;8,0000;1064,0;514,00;-4796,0;-477,00;-0,81843;-0,48133;
2017-04-19;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;89,000;104,00;4019,0;4569,0;-1263,0;-5582,0;-0,23911;-0,54990;
2017-04-19;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;6,0000;8,0000;3722,0;69,000;321,00;-101,00;0,09438;-0,59412;
2017-04-19;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;129,00;21,000;121,00;3774,0;-1,0000;421,00;-0,00820;0,12556;
2017-04-19;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;31,000;33,000;16845;7860,0;-973,00;1988,0;-0,05461;0,33856;
2017-04-19;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;464,00;189,00;2421,0;11406;923,00;-2038,0;0,61615;-0,15159;
2017-04-19;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;;6,0000;99,000;;-397,00;;-0,80040;;
2017-04-19;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;1,0000;15,000;9,0000;217,00;316,00;-210,00;-607,00;-0,49180;-0,65764;
2017-04-19;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;;1,0000;;;1,0000;-2040,0;-650,00;-1,0000;-0,99846;
2017-04-19;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;1,0000;1,0000;2,0000;21,000;20,000;-1035,0;-2425,0;-0,98011;-0,99182;
2017-04-19;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;;23,000;19,000;5345,0;1515,0;408,00;5,0000;0,08264;0,00331;
2017-04-19;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;1,0000;405,00;68,000;298,00;4128,0;-263,00;140,00;-0,46881;0,03511;
2017-04-19;Si;Опцион на фьючерс на доллар США;C;;402,00;460,00;430349;377884;69,000;4516,0;0,00016;0,01210;
2017-04-19;Si;Опцион на фьючерс на доллар США;C;1,0000;3715,0;2062,0;267070;319535;8475,0;4028,0;0,03277;0,01277;
2017-04-19;Si;Опцион на фьючерс на доллар США;P;;276,00;241,00;383899;180734;2200,0;-1934,0;0,00576;-0,01059;
2017-04-19;Si;Опцион на фьючерс на доллар США;P;1,0000;1908,0;1208,0;129270;332435;4636,0;8770,0;0,03720;0,02710;
2017-04-19;RTS;Фьючерсный контракт на Индекс РТС;F;;162,00;214,00;241149;218936;-692,00;-3434,0;-0,00286;-0,01544;
2017-04-19;RTS;Фьючерсный контракт на Индекс РТС;F;1,0000;3026,0;2622,0;51136;73349;368,00;3110,0;0,00725;0,04428;
2017-04-19;RTS;Опцион на фьючерс на Индекс РТС;C;;345,00;483,00;327600;341364;10109;5751,0;0,03184;0,01714;
2017-04-19;RTS;Опцион на фьючерс на Индекс РТС;C;1,0000;2445,0;2283,0;212145;198381;5519,0;9877,0;0,02671;0,05240;
2017-04-19;RTS;Опцион на фьючерс на Индекс РТС;P;;407,00;473,00;183734;315405;16969;15741;0,10175;0,05253;
2017-04-19;RTS;Опцион на фьючерс на Индекс РТС;P;1,0000;2422,0;2754,0;332593;200922;6534,0;7762,0;0,02004;0,04018;
2017-04-19;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;64,000;38,000;93141;75897;141,00;-17,000;0,00152;-0,00022;
2017-04-19;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;2820,0;830,00;39215;56459;-2751,0;-2593,0;-0,06555;-0,04391;
2017-04-19;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;;20,000;27,000;18054;7984,0;146,00;-39,000;0,00815;-0,00486;
2017-04-19;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;1,0000;413,00;164,00;2928,0;12998;216,00;401,00;0,07965;0,03183;
2017-04-19;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;;;1,0000;3,0000;;;;;;
2017-04-19;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;1,0000;5,0000;3,0000;86,000;89,000;;;;;
2017-04-19;GOLD;Опцион на фьючерс на золото в слитках;C;;6,0000;9,0000;92,000;12,000;;;;;
2017-04-19;GOLD;Опцион на фьючерс на золото в слитках;C;1,0000;64,000;63,000;548,00;628,00;3,0000;3,0000;0,00550;0,00480;
2017-04-19;GOLD;Опцион на фьючерс на золото в слитках;P;;;2,0000;8,0000;;;;;;
2017-04-19;GOLD;Опцион на фьючерс на золото в слитках;P;1,0000;49,000;45,000;584,00;592,00;-3,0000;-3,0000;-0,00511;-0,00504;
2017-04-19;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";C;;;2,0000;12,000;;;;;;
2017-04-19;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";C;1,0000;2,0000;;;12,000;;;;;
2017-04-19;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2017-04-19;SNGR;"Опцион на фьючерс на обыкновенные акции ОАО ""Сургутнефтегаз""";C;;1,0000;1,0000;70,000;64,000;;;;;
2017-04-19;SNGR;"Опцион на фьючерс на обыкновенные акции ОАО ""Сургутнефтегаз""";C;1,0000;1,0000;;;6,0000;;;;;
2017-04-19;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;;4,0000;6,0000;103,00;533,00;29,000;-8,0000;0,39189;-0,01479;
2017-04-19;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;1,0000;24,000;39,000;564,00;134,00;-37,000;;-0,06156;;
2017-04-19;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;;5,0000;2,0000;1602,0;1547,0;4,0000;2,0000;0,00250;0,00129;
2017-04-19;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;1,0000;24,000;23,000;90,000;145,00;;2,0000;;0,01399;
2017-04-19;TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";F;;4,0000;4,0000;161,00;193,00;8,0000;-5,0000;0,05229;-0,02525;
2017-04-19;TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";F;1,0000;35,000;16,000;174,00;142,00;-5,0000;8,0000;-0,02793;0,05970;
2017-04-19;SILV;Фьючерсный контракт на аффинированное серебро в слитках;F;;10,000;16,000;29037;4222,0;834,00;-287,00;0,02957;-0,06365;
2017-04-19;SILV;Фьючерсный контракт на аффинированное серебро в слитках;F;1,0000;402,00;183,00;7271,0;32086;655,00;1776,0;0,09900;0,05859;
2017-04-19;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;;32,000;23,000;112740;44717;416,00;586,00;0,00370;0,01328;
2017-04-19;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;1,0000;856,00;190,00;5804,0;73827;237,00;67,000;0,04257;0,00091;
2017-04-19;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;;;4,0000;265,00;;-62,000;;-0,18960;;
2017-04-19;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;1,0000;4,0000;;;265,00;-39,000;-101,00;-1,0000;-0,27596;
2017-04-19;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;;;5,0000;1300,0;;-476,00;;-0,26802;;
2017-04-19;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;1,0000;5,0000;;;1300,0;-34,000;-510,00;-1,0000;-0,28177;
2017-04-19;SBRF;Фьючерсный контракт на обыкновенные акции ПАО Сбербанк;F;;132,00;97,000;343052;262918;-20888;-7639,0;-0,05739;-0,02823;
