moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-07-08;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;4,0000;3,0000;1079,0;2358,0;476,00;712,00;0,78939;0,43256;
2016-07-08;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;19,000;52,000;1364,0;85,000;207,00;-29,000;0,17891;-0,25439;
2016-07-08;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;142,00;112,00;2371,0;3312,0;432,00;310,00;0,22280;0,10326;
2016-07-08;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;180,00;116,00;3370,0;5173,0;490,00;1084,0;0,17014;0,26510;
2016-07-08;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;12,000;20,000;40669;39728;13738;13860;0,51012;0,53580;
2016-07-08;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;3345,0;1400,0;51843;243906;-9433,0;66779;-0,15394;0,37701;
2016-07-08;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;10,000;28,000;41626;39823;5431,0;4837,0;0,15005;0,13826;
2016-07-08;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;93,000;60,000;226008;33945;59628;-16584;0,35838;-0,32821;
2016-07-08;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;40,000;34,000;212,00;146,00;-30,000;17,000;-0,12397;0,13178;
2016-07-08;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;4,0000;7,0000;312,00;378,00;97,000;50,000;0,45116;0,15244;
2016-07-08;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-08;CU;Фьючерсный контракт на медь;F;1,0000;9,0000;9,0000;77,000;81,000;;;;;
2016-07-08;CU;Фьючерсный контракт на медь;F;;;1,0000;4,0000;;;;;;
2016-07-08;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;2,0000;;;;;
2016-07-08;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;250,00;402,00;25404;8539,0;2093,0;-733,00;0,08979;-0,07906;
2016-07-08;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;10,000;11,000;156,00;156,00;1,0000;1,0000;0,00645;0,00645;
2016-07-08;ED;Фьючерсный контракт на курс евро-доллар США;F;;21,000;23,000;19004;35869;-2609,0;217,00;-0,12071;0,00609;
2016-07-08;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;10,000;9,0000;53,000;53,000;;;;;
2016-07-08;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;79,000;66,000;93092;92789;1146,0;997,00;0,01246;0,01086;
2016-07-08;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;6,0000;9,0000;1210,0;1200,0;;;;;
2016-07-08;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;7,0000;5,0000;41995;42005;;;;;
2016-07-08;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;8,0000;8,0000;1102,0;1112,0;;;;;
2016-07-08;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;498,00;429,00;13370;13673;848,00;997,00;0,06772;0,07865;
2016-07-08;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;;;1,0000;10,000;;;;;;
2016-07-08;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;;1,0000;1,0000;1,0000;5,0000;1,0000;;;;
2016-07-08;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;6,0000;9,0000;916,00;7434,0;-83,000;-973,00;-0,08308;-0,11574;
2016-07-08;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";P;1,0000;1,0000;1,0000;16,000;16,000;;;;;
2016-07-08;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;61,000;140,00;8652,0;2134,0;-479,00;411,00;-0,05246;0,23854;
2016-07-08;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;1,0000;1,0000;1,0000;5,0000;1,0000;;1,0000;;;
2016-07-08;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1324,0;363,00;11585;141515;-6815,0;5083,0;-0,37038;0,03726;
2016-07-08;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;302,00;137,00;7573,0;15248;107,00;137,00;0,01433;0,00907;
2016-07-08;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;151,00;141,00;6464,0;7409,0;260,00;801,00;0,04191;0,12122;
2016-07-08;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;92,000;54,000;190072;60142;2962,0;-8936,0;0,01583;-0,12936;
2016-07-08;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;45,000;48,000;12417;11472;498,00;-43,000;0,04178;-0,00373;
2016-07-08;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;31,000;78,000;10948;3273,0;48,000;18,000;0,00440;0,00553;
2016-07-08;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;;12,000;6,0000;11601;5276,0;-879,00;-16,000;-0,07043;-0,00302;
