moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-11-03;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;443,00;144,00;1636656;1197903;-50131;86703;-0,02972;0,07803;
2017-11-03;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;9301,0;3348,0;230548;669301;79666;-57168;0,52800;-0,07869;
2017-11-03;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;61,000;44,000;496280;82125;-868,00;-5862,0;-0,00175;-0,06662;
2017-11-03;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1786,0;682,00;25314;439469;-2144,0;2850,0;-0,07808;0,00653;
2017-11-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;15,000;14,000;6948,0;3900,0;-98,000;2,0000;-0,01391;0,00051;
2017-11-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;136,00;93,000;19237;22285;108,00;8,0000;0,00565;0,00036;
2017-11-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;4,0000;8,0000;1800,0;2217,0;1,0000;;0,00056;;
2017-11-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;44,000;66,000;5908,0;5491,0;24,000;25,000;0,00408;0,00457;
2017-11-03;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;3,0000;9,0000;2460,0;480,00;148,00;-3,0000;0,06401;-0,00621;
2017-11-03;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;70,000;47,000;598,00;2578,0;-19,000;132,00;-0,03079;0,05397;
2017-11-03;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;29,000;17,000;12896;10816;-562,00;580,00;-0,04176;0,05666;
2017-11-03;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;301,00;302,00;4507,0;6587,0;347,00;-795,00;0,08341;-0,10769;
2017-11-03;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;1,0000;5,0000;513,00;769,00;;1,0000;;0,00130;
