moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-10-31;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;1,0000;5,0000;513,00;724,00;;1,0000;;0,00138;
2017-10-31;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;1,0000;6,0000;6,0000;525,00;314,00;1,0000;;0,00191;;
2017-10-31;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;;2,0000;1,0000;3,0000;8,0000;;;;;
2017-10-31;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;1,0000;5,0000;8,0000;41,000;36,000;;;;;
2017-10-31;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;;19,000;18,000;1901,0;3101,0;368,00;2,0000;0,24005;0,00065;
2017-10-31;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;1,0000;204,00;242,00;3069,0;1869,0;-247,00;119,00;-0,07449;0,06800;
2017-10-31;Si;Опцион на фьючерс на доллар США;C;;77,000;67,000;244474;311981;9818,0;5775,0;0,04184;0,01886;
2017-10-31;Si;Опцион на фьючерс на доллар США;C;1,0000;931,00;687,00;271055;203548;835,00;4878,0;0,00309;0,02455;
2017-10-31;Si;Опцион на фьючерс на доллар США;P;;41,000;42,000;296535;198029;17454;745,00;0,06254;0,00378;
2017-10-31;Si;Опцион на фьючерс на доллар США;P;1,0000;606,00;471,00;107289;205795;3234,0;19943;0,03108;0,10731;
2017-10-31;RTS;Фьючерсный контракт на Индекс РТС;F;;112,00;144,00;150073;168862;-4835,0;-11613;-0,03121;-0,06435;
2017-10-31;RTS;Фьючерсный контракт на Индекс РТС;F;1,0000;2736,0;3000,0;78775;59986;205,00;6983,0;0,00261;0,13175;
2017-10-31;RTS;Опцион на фьючерс на Индекс РТС;C;;65,000;74,000;390651;490252;15288;14066;0,04073;0,02954;
2017-10-31;RTS;Опцион на фьючерс на Индекс РТС;C;1,0000;1123,0;1125,0;236400;136799;13121;14343;0,05877;0,11713;
2017-10-31;RTS;Опцион на фьючерс на Индекс РТС;P;;52,000;71,000;103644;382806;2368,0;7705,0;0,02338;0,02054;
2017-10-31;RTS;Опцион на фьючерс на Индекс РТС;P;1,0000;1211,0;1110,0;480190;201028;15127;9790,0;0,03253;0,05119;
2017-10-31;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;51,000;26,000;92711;66432;-3543,0;-1713,0;-0,03681;-0,02514;
2017-10-31;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;1652,0;553,00;17180;43459;3415,0;1585,0;0,24809;0,03785;
2017-10-31;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;;17,000;17,000;18672;8260,0;251,00;-33,000;0,01363;-0,00398;
2017-10-31;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;1,0000;298,00;124,00;2266,0;12678;-136,00;148,00;-0,05662;0,01181;
2017-10-31;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;;;1,0000;50,000;;;;;;
