moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-10-03;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;388,00;138,00;1705897;1118343;27261;-21777;0,01624;-0,01910;
2017-10-03;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;10357;2230,0;139208;726762;-21672;27366;-0,13471;0,03913;
2017-10-03;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;57,000;48,000;495315;93722;4678,0;1166,0;0,00953;0,01260;
2017-10-03;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;2027,0;569,00;25161;426754;4008,0;7520,0;0,18948;0,01794;
2017-10-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;11,000;13,000;4374,0;3386,0;232,00;566,00;0,05601;0,20071;
2017-10-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;145,00;103,00;13507;14495;876,00;542,00;0,06935;0,03884;
2017-10-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;5,0000;8,0000;1252,0;495,00;;;;;
2017-10-03;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;59,000;71,000;2712,0;3469,0;4,0000;4,0000;0,00148;0,00115;
2017-10-03;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;3,0000;11,000;2087,0;70,000;92,000;16,000;0,04612;0,29630;
2017-10-03;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;73,000;46,000;643,00;2660,0;-59,000;17,000;-0,08405;0,00643;
2017-10-03;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;25,000;20,000;10112;4406,0;-14,000;2,0000;-0,00138;0,00045;
2017-10-03;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;379,00;189,00;1966,0;7672,0;-271,00;-287,00;-0,12114;-0,03606;
2017-10-03;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;2,0000;2,0000;806,00;1261,0;;;;;
2017-10-03;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;1,0000;5,0000;6,0000;609,00;154,00;;;;;
2017-10-03;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;;1,0000;1,0000;3,0000;1,0000;;;;;
2017-10-03;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;1,0000;3,0000;3,0000;27,000;29,000;;;;;
2017-10-03;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;;24,000;11,000;1345,0;1698,0;-103,00;-27,000;-0,07113;-0,01565;
2017-10-03;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;1,0000;233,00;184,00;2422,0;2069,0;-27,000;-103,00;-0,01102;-0,04742;
2017-10-03;Si;Опцион на фьючерс на доллар США;C;;75,000;61,000;178422;198740;12435;13118;0,07492;0,07067;
2017-10-03;Si;Опцион на фьючерс на доллар США;C;1,0000;1050,0;572,00;208164;187846;6042,0;5359,0;0,02989;0,02937;
2017-10-03;Si;Опцион на фьючерс на доллар США;P;;46,000;44,000;266139;160933;18498;6062,0;0,07470;0,03914;
2017-10-03;Si;Опцион на фьючерс на доллар США;P;1,0000;614,00;437,00;85471;190677;1632,0;14068;0,01947;0,07966;
2017-10-03;RTS;Фьючерсный контракт на Индекс РТС;F;;148,00;125,00;138297;164327;-1640,0;-8748,0;-0,01172;-0,05054;
2017-10-03;RTS;Фьючерсный контракт на Индекс РТС;F;1,0000;2950,0;3187,0;81079;55049;-4532,0;2576,0;-0,05294;0,04909;
2017-10-03;RTS;Опцион на фьючерс на Индекс РТС;C;;61,000;79,000;346722;413129;6178,0;5043,0;0,01814;0,01236;
2017-10-03;RTS;Опцион на фьючерс на Индекс РТС;C;1,0000;968,00;1053,0;161104;94697;9394,0;10529;0,06192;0,12510;
