moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-07-25;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;35,000;35,000;406,00;290,00;-27,000;-374,00;-0,06236;-0,56325;
2016-07-25;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;4,0000;3,0000;2353,0;2469,0;-262,00;85,000;-0,10019;0,03565;
2016-07-25;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;3508,0;1710,0;65801;247123;-3118,0;45624;-0,04524;0,22642;
2016-07-25;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;23,000;37,000;21152;20773;-674,00;81,000;-0,03088;0,00391;
2016-07-25;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;19,000;41,000;41750;41567;31,000;91,000;0,00074;0,00219;
2016-07-25;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;90,000;72,000;303300;121978;145979;97237;0,92791;3,9302;
2016-07-25;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;244,00;194,00;5677,0;6056,0;1545,0;790,00;0,37391;0,15002;
2016-07-25;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;293,00;229,00;9303,0;9486,0;1276,0;1216,0;0,15896;0,14704;
2016-07-25;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-25;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";C;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-25;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;25,000;50,000;295,00;100,00;1,0000;-18,000;0,00340;-0,15254;
2016-07-25;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;5,0000;7,0000;671,00;866,00;-15,000;4,0000;-0,02187;0,00464;
2016-07-25;CU;Фьючерсный контракт на медь;F;1,0000;13,000;7,0000;120,00;115,00;-4,0000;-4,0000;-0,03226;-0,03361;
2016-07-25;CU;Фьючерсный контракт на медь;F;;1,0000;;;5,0000;;;;;
2016-07-25;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;1,0000;;;;;
2016-07-25;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;1,0000;1,0000;;;1,0000;;;;;
2016-07-25;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;388,00;480,00;29978;10992;670,00;-655,00;0,02286;-0,05624;
2016-07-25;ED;Фьючерсный контракт на курс евро-доллар США;F;;27,000;32,000;25776;44762;370,00;1695,0;0,01456;0,03936;
2016-07-25;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;18,000;16,000;88,000;88,000;4,0000;4,0000;0,04762;0,04762;
2016-07-25;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;10,000;11,000;156,00;156,00;;;;;
2016-07-25;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;834,00;127,00;3018,0;23440;-209,00;2812,0;-0,06477;0,13632;
2016-07-25;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;8,0000;10,000;1164,0;1122,0;;;;;
2016-07-25;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;7,0000;9,0000;1210,0;1208,0;;;;;
2016-07-25;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;125,00;23,000;112900;92478;4933,0;1912,0;0,04569;0,02111;
2016-07-25;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;9,0000;9,0000;48003;48005;;;;;
2016-07-25;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;;2,0000;;;42,000;;;;;
2016-07-25;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;;1,0000;1,0000;1,0000;5,0000;;;;;
2016-07-25;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";P;;1,0000;;;600,00;;;;;
2016-07-25;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;99,000;100,00;4420,0;3422,0;713,00;216,00;0,19234;0,06737;
2016-07-25;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;8,0000;10,000;2582,0;3580,0;-529,00;-32,000;-0,17004;-0,00886;
2016-07-25;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;1,0000;1,0000;1,0000;5,0000;1,0000;;;;;
2016-07-25;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";P;1,0000;1,0000;2,0000;616,00;16,000;600,00;;37,500;;
2016-07-25;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1084,0;617,00;26837;111505;3377,0;-2381,0;0,14395;-0,02091;
2016-07-25;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;35,000;39,000;11241;7879,0;63,000;-96,000;0,00564;-0,01204;
2016-07-25;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;44,000;33,000;3551,0;4839,0;50,000;-14,000;0,01428;-0,00288;
