moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-06-06;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;525,00;191,00;1704476;1020839;-5402,0;16816;-0,00316;0,01675;
2017-06-06;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;10566;4204,0;136761;820398;3737,0;-18481;0,02809;-0,02203;
2017-06-06;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;134,00;60,000;644925;135292;6114,0;423,00;0,00957;0,00314;
2017-06-06;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;3834,0;633,00;22073;531706;-1561,0;4130,0;-0,06605;0,00783;
2017-06-06;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;56,000;93,000;50402;7904,0;319,00;19,000;0,00637;0,00241;
2017-06-06;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;789,00;334,00;29596;72094;69,000;369,00;0,00234;0,00514;
2017-06-06;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;29,000;24,000;3753,0;1286,0;;20,000;;0,01580;
2017-06-06;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;205,00;259,00;6597,0;9064,0;98,000;78,000;0,01508;0,00868;
2017-06-06;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;12,000;11,000;4314,0;506,00;68,000;-46,000;0,01602;-0,08333;
2017-06-06;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;168,00;32,000;265,00;4073,0;-8,0000;106,00;-0,02930;0,02672;
2017-06-06;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;44,000;33,000;21850;9528,0;917,00;155,00;0,04381;0,01654;
2017-06-06;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;570,00;159,00;1447,0;13769;-331,00;431,00;-0,18616;0,03231;
2017-06-06;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;2,0000;7,0000;1905,0;913,00;;;;;
2017-06-06;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;1,0000;31,000;33,000;1789,0;2781,0;;;;;
2017-06-06;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;;2,0000;1,0000;20,000;2,0000;;;;;
2017-06-06;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";P;1,0000;12,000;13,000;768,00;786,00;1,0000;1,0000;0,00130;0,00127;
2017-06-06;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;;27,000;25,000;9642,0;2152,0;-434,00;-31,000;-0,04307;-0,01420;
2017-06-06;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";F;1,0000;622,00;46,000;253,00;7743,0;76,000;-327,00;0,42938;-0,04052;
2017-06-06;Si;Опцион на фьючерс на доллар США;C;;360,00;414,00;502865;418235;8657,0;1474,0;0,01752;0,00354;
2017-06-06;Si;Опцион на фьючерс на доллар США;C;1,0000;3110,0;1801,0;268765;353395;-866,00;6317,0;-0,00321;0,01820;
2017-06-06;Si;Опцион на фьючерс на доллар США;P;;210,00;194,00;387641;184180;1795,0;2162,0;0,00465;0,01188;
2017-06-06;Si;Опцион на фьючерс на доллар США;P;1,0000;1701,0;1024,0;129376;332837;2999,0;2632,0;0,02373;0,00797;
2017-06-06;RTS;Фьючерсный контракт на Индекс РТС;F;;249,00;209,00;294830;250354;21893;19876;0,08021;0,08624;
2017-06-06;RTS;Фьючерсный контракт на Индекс РТС;F;1,0000;3670,0;2374,0;50830;95306;-2157,0;-140,00;-0,04071;-0,00147;
2017-06-06;RTS;Опцион на фьючерс на Индекс РТС;C;;362,00;386,00;383664;402088;5422,0;3399,0;0,01433;0,00853;
2017-06-06;RTS;Опцион на фьючерс на Индекс РТС;C;1,0000;2518,0;2260,0;187473;169049;-3860,0;-1837,0;-0,02017;-0,01075;
2017-06-06;RTS;Опцион на фьючерс на Индекс РТС;P;;345,00;390,00;235444;400410;3290,0;8674,0;0,01417;0,02214;
2017-06-06;RTS;Опцион на фьючерс на Индекс РТС;P;1,0000;2117,0;2883,0;367626;202660;7341,0;1957,0;0,02038;0,00975;
2017-06-06;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;112,00;37,000;92281;79384;-275,00;1524,0;-0,00297;0,01957;
2017-06-06;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;2561,0;751,00;33633;46530;-2029,0;-3828,0;-0,05690;-0,07602;
2017-06-06;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;;22,000;35,000;25129;9302,0;448,00;269,00;0,01815;0,02978;
2017-06-06;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;1,0000;502,00;146,00;2057,0;17884;72,000;251,00;0,03627;0,01423;
2017-06-06;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;;;6,0000;392,00;;;;;;
2017-06-06;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;1,0000;10,000;8,0000;151,00;543,00;10,000;10,000;0,07092;0,01876;
2017-06-06;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";P;1,0000;3,0000;4,0000;4,0000;4,0000;1,0000;1,0000;0,33333;0,33333;
2017-06-06;GOLD;Опцион на фьючерс на золото в слитках;C;;13,000;22,000;394,00;61,000;24,000;1,0000;0,06486;0,01667;
2017-06-06;GOLD;Опцион на фьючерс на золото в слитках;C;1,0000;101,00;85,000;714,00;1047,0;4,0000;27,000;0,00563;0,02647;
2017-06-06;GOLD;Опцион на фьючерс на золото в слитках;P;;3,0000;11,000;207,00;15,000;61,000;12,000;0,41781;4,0000;
2017-06-06;GOLD;Опцион на фьючерс на золото в слитках;P;1,0000;66,000;51,000;595,00;787,00;-4,0000;45,000;-0,00668;0,06065;
