moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-11-02;Si;Опцион на фьючерс на доллар США;P;1,0000;1546,0;1217,0;110843;158817;14799;14397;0,15409;0,09969;
2016-11-02;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;;;3,0000;8,0000;;;;;;
2016-11-02;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;1,0000;5,0000;1,0000;5,0000;13,000;;;;;
2016-11-02;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;;48,000;37,000;47900;11381;1941,0;-658,00;0,04223;-0,05466;
2016-11-02;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;1,0000;713,00;198,00;6656,0;43175;355,00;2954,0;0,05634;0,07344;
2016-11-02;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;;;6,0000;25,000;;;;;;
2016-11-02;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;1,0000;7,0000;2,0000;10,000;35,000;10,000;10,000;;0,40000;
2016-11-02;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;;;1,0000;2,0000;;;;;;
2016-11-02;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;623,00;175,00;1787619;923050;52643;-20869;0,03034;-0,02211;
2016-11-02;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;15365;1885,0;78406;942975;-44828;28684;-0,36376;0,03137;
2016-11-02;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;;3,0000;6,0000;1322,0;2529,0;125,00;85,000;0,10443;0,03478;
2016-11-02;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;1,0000;13,000;75,000;1316,0;109,00;-59,000;-19,000;-0,04291;-0,14844;
2016-11-02;TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";F;;3,0000;5,0000;446,00;47,000;-17,000;-4,0000;-0,03672;-0,07843;
2016-11-02;TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";F;1,0000;36,000;21,000;125,00;524,00;5,0000;-8,0000;0,04167;-0,01504;
2016-11-02;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;;3,0000;3,0000;1681,0;2881,0;4,0000;-34,000;0,00239;-0,01166;
2016-11-02;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;1,0000;17,000;59,000;1296,0;96,000;-28,000;10,000;-0,02115;0,11628;
2016-11-02;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;;4,0000;3,0000;4555,0;4625,0;6,0000;-23,000;0,00132;-0,00495;
2016-11-02;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;1,0000;23,000;7,0000;211,00;141,00;5,0000;34,000;0,02427;0,31776;
2016-11-02;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;;6,0000;8,0000;12336;3206,0;3405,0;-3648,0;0,38126;-0,53224;
2016-11-02;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;1,0000;218,00;77,000;917,00;10047;-4182,0;2871,0;-0,82016;0,40008;
2016-11-02;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;;1,0000;6,0000;322,00;4,0000;-4,0000;-1,0000;-0,01227;-0,20000;
2016-11-02;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;1,0000;17,000;16,000;99,000;417,00;3,0000;;0,03125;;
2016-11-02;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;;1,0000;;;3,0000;;;;;
2016-11-02;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;1,0000;1,0000;3,0000;4,0000;1,0000;;;;;
2016-11-02;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;1,0000;2,0000;1,0000;30,000;32,000;;;;;
2016-11-02;ALRS;"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)";F;;;2,0000;1781,0;;-5,0000;;-0,00280;;
2016-11-02;ALRS;"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)";F;1,0000;109,00;11,000;484,00;2265,0;-8,0000;-13,000;-0,01626;-0,00571;
2016-11-02;ALSI;Фьючерсный контракт на Индекс FTSE/JSE Top40;F;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-11-02;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;2,0000;5,0000;2980,0;5059,0;-229,00;994,00;-0,07136;0,24453;
2016-11-02;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;34,000;69,000;2532,0;453,00;-5,0000;-1228,0;-0,00197;-0,73052;
2016-11-02;BR;Опцион на фьючерс на нефть BRENT;C;;75,000;78,000;23526;24246;6063,0;294,00;0,34719;0,01227;
2016-11-02;BR;Опцион на фьючерс на нефть BRENT;C;1,0000;373,00;298,00;20437;19717;138,00;5907,0;0,00680;0,42773;
2016-11-02;BR;Опцион на фьючерс на нефть BRENT;P;;92,000;86,000;27223;45647;4932,0;6527,0;0,22126;0,16685;
2016-11-02;BR;Опцион на фьючерс на нефть BRENT;P;1,0000;291,00;373,00;29861;11437;4063,0;2468,0;0,15749;0,27517;
2016-11-02;BR;Фьючерсный контракт на нефть BRENT;F;;117,00;76,000;284600;47618;116440;2700,0;0,69244;0,06011;
2016-11-02;BR;Фьючерсный контракт на нефть BRENT;F;1,0000;4298,0;1528,0;88446;325428;-16328;97412;-0,15584;0,42722;
2016-11-02;CHMF;"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""";F;;5,0000;12,000;417,00;1425,0;-119,00;30,000;-0,22201;0,02151;
2016-11-02;CHMF;"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""";F;1,0000;21,000;142,00;1169,0;161,00;-49,000;-198,00;-0,04023;-0,55153;
2016-11-02;CHMF;"Опцион на фьючерс на обыкновенные акции ПАО ""Северсталь""";C;;2,0000;1,0000;400,00;2,0000;;;;;
2016-11-02;CHMF;"Опцион на фьючерс на обыкновенные акции ПАО ""Северсталь""";C;1,0000;1,0000;2,0000;2,0000;400,00;;;;;
2016-11-02;CHMF;"Опцион на фьючерс на обыкновенные акции ПАО ""Северсталь""";P;;1,0000;;;1,0000;;;;;
2016-11-02;CHMF;"Опцион на фьючерс на обыкновенные акции ПАО ""Северсталь""";P;1,0000;;1,0000;1,0000;;;;;;
2016-11-02;CU;Фьючерсный контракт на медь;F;;1,0000;1,0000;114,00;30,000;;;;;
2016-11-02;CU;Фьючерсный контракт на медь;F;1,0000;15,000;7,0000;56,000;140,00;1,0000;1,0000;0,01818;0,00719;
2016-11-02;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;2,0000;;;216,00;;;;;
