moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-05-10;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;6,0000;4,0000;4765,0;4205,0;22,000;21,000;0,00464;0,00502;
2016-05-10;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;47,000;20,000;175,00;735,00;-4,0000;-3,0000;-0,02235;-0,00407;
2016-05-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;;7,0000;137,00;;2,0000;;0,01481;;
2016-05-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;38,000;32,000;254,00;391,00;123,00;125,00;0,93893;0,46992;
2016-05-10;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;62,000;71,000;221145;190329;66713;98604;0,43199;1,0750;
2016-05-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;48,000;34,000;650,00;760,00;253,00;353,00;0,63728;0,86732;
2016-05-10;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;4762,0;2345,0;102187;133003;29308;-2583,0;0,40215;-0,01905;
2016-05-10;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;;2,0000;110,00;;100,00;;10,000;;
2016-05-10;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;;1,0000;1,0000;;;;;;
2016-05-10;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;6,0000;6,0000;531,00;598,00;73,000;-166,00;0,15939;-0,21728;
2016-05-10;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;;1,0000;;;1,0000;;;;;
2016-05-10;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;38,000;54,000;430,00;363,00;-31,000;208,00;-0,06725;1,3419;
2016-05-10;CU;Фьючерсный контракт на медь;F;1,0000;6,0000;8,0000;96,000;96,000;21,000;21,000;0,28000;0,28000;
2016-05-10;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;1,0000;2,0000;2,0000;3,0000;8,0000;2,0000;-5,0000;2,0000;-0,38462;
2016-05-10;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;2,0000;1,0000;12,000;7,0000;;7,0000;;;
2016-05-10;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;7,0000;8,0000;30,000;30,000;;;;;
2016-05-10;ED;Фьючерсный контракт на курс евро-доллар США;F;;27,000;29,000;30289;39020;-4670,0;-6793,0;-0,13359;-0,14828;
2016-05-10;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;13,000;9,0000;129,00;129,00;5,0000;5,0000;0,04032;0,04032;
2016-05-10;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;324,00;634,00;21689;12958;-2817,0;-694,00;-0,11495;-0,05084;
2016-05-10;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;102,00;47,000;41937;35414;-1532,0;-5576,0;-0,03524;-0,13603;
2016-05-10;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;4,0000;4,0000;148,00;5,0000;;;;;
2016-05-10;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;2,0000;2,0000;400,00;400,00;;;;;
2016-05-10;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;754,00;200,00;9183,0;15706;-1067,0;2977,0;-0,10410;0,23388;
2016-05-10;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;4,0000;4,0000;22742;22885;;;;;
2016-05-10;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;2,0000;6,0000;384,00;16,000;73,000;-2,0000;0,23473;-0,11111;
2016-05-10;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;48,000;59,000;1594,0;1962,0;24,000;99,000;0,01529;0,05314;
2016-05-10;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;47,000;79,000;13864;8175,0;1106,0;-319,00;0,08669;-0,03756;
2016-05-10;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;253,00;163,00;12828;18517;771,00;2196,0;0,06395;0,13455;
2016-05-10;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;58,000;54,000;16210;11335;8,0000;-381,00;0,00049;-0,03252;
2016-05-10;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;218,00;132,00;10384;15259;604,00;993,00;0,06176;0,06961;
2016-05-10;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;83,000;86,000;184902;162417;-1211,0;-920,00;-0,00651;-0,00563;
2016-05-10;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;717,00;978,00;31971;54456;942,00;651,00;0,03036;0,01210;
2016-05-10;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;;6,0000;5,0000;1319,0;1860,0;-292,00;-254,00;-0,18125;-0,12015;
2016-05-10;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;1,0000;61,000;74,000;1339,0;798,00;98,000;60,000;0,07897;0,08130;
2016-05-10;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;1,0000;208,00;58,000;325,00;3802,0;-208,00;479,00;-0,39024;0,14415;
2016-05-10;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";C;;2,0000;3,0000;6,0000;31,000;2,0000;1,0000;0,50000;0,03333;
2016-05-10;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";C;1,0000;5,0000;5,0000;47,000;22,000;;1,0000;;0,04762;
2016-05-10;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;;;1,0000;26,000;;;;;;
2016-05-10;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;;30,000;39,000;5546,0;2069,0;459,00;-228,00;0,09023;-0,09926;
2016-05-10;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;1,0000;2,0000;1,0000;16,000;42,000;;;;;
2016-05-10;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;4304,0;445,00;7987,0;93331;-2554,0;-704,00;-0,24229;-0,00749;
2016-05-10;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;;1,0000;16,000;375,00;6,0000;;;;;
2016-05-10;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;;1,0000;10,000;55,000;10,000;;;;;
2016-05-10;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;1,0000;72,000;63,000;1011,0;1380,0;-43,000;-43,000;-0,04080;-0,03022;
2016-05-10;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;1,0000;63,000;52,000;751,00;796,00;3,0000;3,0000;0,00401;0,00378;
2016-05-10;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;71,000;29,000;134848;49504;-9381,0;-11231;-0,06504;-0,18492;
2016-05-10;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;1,0000;76,000;50,000;972,00;2955,0;16,000;-116,00;0,01674;-0,03777;
2016-05-10;HYDR;"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""";F;;4,0000;9,0000;2075,0;92,000;-132,00;;-0,05981;;
2016-05-10;LKOH;"Опцион на фьючерс на акции ПАО ""ЛУКОЙЛ""";C;;3,0000;12,000;1231,0;896,00;;;;;
2016-05-10;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;35,000;46,000;8445,0;8012,0;2222,0;1014,0;0,35706;0,14490;
2016-05-10;LKOH;"Опцион на фьючерс на акции ПАО ""ЛУКОЙЛ""";P;;9,0000;13,000;1894,0;1817,0;41,000;38,000;0,02213;0,02136;
2016-05-10;LKOH;"Опцион на фьючерс на акции ПАО ""ЛУКОЙЛ""";C;1,0000;30,000;12,000;306,00;641,00;35,000;35,000;0,12915;0,05776;
2016-05-10;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;283,00;215,00;6147,0;6580,0;-1563,0;-355,00;-0,20272;-0,05119;
2016-05-10;LKOH;"Опцион на фьючерс на акции ПАО ""ЛУКОЙЛ""";P;1,0000;16,000;12,000;132,00;209,00;-5,0000;-2,0000;-0,03650;-0,00948;
2016-05-10;MGNT;"Фьючерсный контракт на обыкновенные акции ПАО ""Магнит""";F;;12,000;16,000;5774,0;5340,0;-488,00;-153,00;-0,07793;-0,02785;
2016-05-10;MGNT;"Фьючерсный контракт на обыкновенные акции ПАО ""Магнит""";F;1,0000;216,00;55,000;6513,0;6947,0;-186,00;-521,00;-0,02777;-0,06976;
2016-05-10;MIX;Фьючерсный контракт на Индекс ММВБ;F;1,0000;134,00;243,00;3522,0;1197,0;316,00;-99,000;0,09857;-0,07639;
2016-05-10;MIX;Фьючерсный контракт на Индекс ММВБ;F;;26,000;26,000;2539,0;4864,0;-813,00;-398,00;-0,24254;-0,07564;
2016-05-10;MIX;Опцион на фьючерсный контракт на Индекс ММВБ;C;;6,0000;4,0000;100,00;100,00;;;;;
2016-05-10;MIX;Опцион на фьючерсный контракт на Индекс ММВБ;P;;2,0000;5,0000;51,000;22,000;;;;;
2016-05-10;MIX;Опцион на фьючерсный контракт на Индекс ММВБ;C;1,0000;5,0000;3,0000;58,000;58,000;;;;;
2016-05-10;MIX;Опцион на фьючерсный контракт на Индекс ММВБ;P;1,0000;18,000;29,000;595,00;624,00;;;;;
2016-05-10;MOEX;Фьючерсный контракт на обыкновенные акции ПАО Московская Биржа;F;1,0000;48,000;24,000;797,00;1489,0;344,00;215,00;0,75938;0,16876;
2016-05-10;MOEX;Фьючерсный контракт на обыкновенные акции ПАО Московская Биржа;F;;5,0000;4,0000;1421,0;729,00;34,000;163,00;0,02451;0,28799;
2016-05-10;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;;6,0000;2,0000;42,000;186,00;5,0000;-1,0000;0,13514;-0,00535;
2016-05-10;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;1,0000;33,000;25,000;466,00;322,00;-32,000;-26,000;-0,06426;-0,07471;
2016-05-10;MXI;Опцион на фьючерсный контракт на Индекс ММВБ (мини);C;;20,000;32,000;40618;40657;3618,0;2958,0;0,09778;0,07846;
2016-05-10;MXI;Опцион на фьючерсный контракт на Индекс ММВБ (мини);P;;18,000;35,000;25041;20994;2639,0;2963,0;0,11780;0,16433;
2016-05-10;MXI;Фьючерсный контракт на Индекс ММВБ (мини);F;;22,000;21,000;12857;16937;1827,0;3790,0;0,16564;0,28828;
2016-05-10;MXI;Фьючерсный контракт на Индекс ММВБ (мини);F;1,0000;233,00;322,00;11732;7652,0;2956,0;993,00;0,33683;0,14912;
2016-05-10;MXI;Опцион на фьючерсный контракт на Индекс ММВБ (мини);C;1,0000;51,000;37,000;7128,0;7089,0;1723,0;2383,0;0,31878;0,50637;
2016-05-10;MXI;Опцион на фьючерсный контракт на Индекс ММВБ (мини);P;1,0000;91,000;40,000;5146,0;9193,0;936,00;612,00;0,22233;0,07132;
2016-05-10;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;;1,0000;1,0000;75,000;186,00;-110,00;-131,00;-0,59459;-0,41325;
2016-05-10;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;1,0000;7,0000;15,000;141,00;30,000;-14,000;7,0000;-0,09032;0,30435;
2016-05-10;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;;4,0000;4,0000;303,00;55,000;1,0000;7,0000;0,00331;0,14583;
2016-05-10;NOTK;"Опцион на фьючерс на обыкновенные акции ОАО ""НОВАТЭК""";P;1,0000;1,0000;1,0000;1700,0;1700,0;;;;;
2016-05-10;NOTK;"Опцион на фьючерс на обыкновенные акции ОАО ""НОВАТЭК""";P;;1,0000;1,0000;1700,0;1700,0;;;;;
2016-05-10;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;1,0000;9,0000;11,000;44,000;292,00;5,0000;-1,0000;0,12821;-0,00341;
