moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-01-30;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;532,00;177,00;1605567;1053090;-41972;-84217;-0,02548;-0,07405;
2017-01-30;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;13512;1969,0;125701;678178;-32953;9292,0;-0,20770;0,01389;
2017-01-30;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;70,000;67,000;228485;29083;-719,00;-3932,0;-0,00314;-0,11910;
2017-01-30;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;1503,0;588,00;24238;223640;3551,0;6764,0;0,17165;0,03119;
2017-01-30;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;;29,000;44,000;9691,0;2244,0;554,00;-3,0000;0,06063;-0,00134;
2017-01-30;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";C;1,0000;235,00;160,00;5056,0;12503;736,00;1293,0;0,17037;0,11534;
2017-01-30;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;;16,000;25,000;5267,0;1526,0;709,00;102,00;0,15555;0,07163;
2017-01-30;GAZR;"Опцион на фьючерс на обыкновенные акции ПАО ""Газпром""";P;1,0000;111,00;101,00;3487,0;7228,0;-39,000;568,00;-0,01106;0,08529;
2017-01-30;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;7,0000;12,000;3382,0;512,00;250,00;71,000;0,07982;0,16100;
2017-01-30;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;84,000;28,000;247,00;3117,0;-59,000;120,00;-0,19281;0,04004;
2017-01-30;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;;59,000;33,000;5146,0;7320,0;541,00;-2691,0;0,11748;-0,26880;
2017-01-30;LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";F;1,0000;320,00;350,00;7458,0;5284,0;-4458,0;-1226,0;-0,37412;-0,18833;
2017-01-30;LKOH;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";C;;;5,0000;244,00;;;;;;
