moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-04-07;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;20,000;42,000;579,00;128,00;-115,00;20,000;-0,16571;0,18519;
2016-04-07;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;5,0000;3,0000;680,00;1131,0;132,00;-3,0000;0,24088;-0,00265;
2016-04-07;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;94,000;53,000;352386;247031;-23627;-63810;-0,06284;-0,20528;
2016-04-07;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;108,00;99,000;1360,0;1467,0;207,00;162,00;0,17953;0,12414;
2016-04-07;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;8,0000;20,000;30989;30186;20000;20000;1,8200;1,9635;
2016-04-07;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;5,0000;14,000;27994;27887;20000;20045;2,5019;2,5561;
2016-04-07;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;146,00;101,00;1832,0;2635,0;45,000;45,000;0,02518;0,01737;
2016-04-07;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;2751,0;1705,0;67504;172859;-18941;21242;-0,21911;0,14010;
2016-04-07;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;11,000;84,000;582,00;95,000;20,000;-2,0000;0,03559;-0,02062;
2016-04-07;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;5,0000;6,0000;221,00;708,00;59,000;81,000;0,36420;0,12919;
2016-04-07;CU;Фьючерсный контракт на медь;F;;;1,0000;6,0000;;;;;;
2016-04-07;CU;Фьючерсный контракт на медь;F;1,0000;1,0000;5,0000;49,000;55,000;;;;;
2016-04-07;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;1,0000;;1,0000;2,0000;;;;;;
2016-04-07;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;;;2,0000;;;;;
2016-04-07;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;4,0000;5,0000;6,0000;6,0000;;;;;
2016-04-07;ED;Фьючерсный контракт на курс евро-доллар США;F;;29,000;40,000;11516;29978;2386,0;-144,00;0,26134;-0,00478;
2016-04-07;ED;Опцион на фьючерсный контракт на курс евро-доллар;P;1,0000;8,0000;6,0000;52,000;52,000;4,0000;4,0000;0,08333;0,08333;
2016-04-07;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;341,00;851,00;44162;25700;-2439,0;91,000;-0,05234;0,00355;
2016-04-07;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;;3,0000;4,0000;22738;22750;;;;;
2016-04-07;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;79,000;58,000;45092;51452;2486,0;-1258,0;0,05835;-0,02387;
2016-04-07;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;609,00;386,00;18448;12088;-2194,0;1550,0;-0,10629;0,14709;
2016-04-07;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;;1,0000;1,0000;2500,0;2500,0;;;;;
2016-04-07;Eu;Опцион на фьючерсный контракт на курс евро-рубль;C;1,0000;1,0000;3,0000;14,000;2,0000;;;;;
2016-04-07;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;2,0000;2,0000;400,00;400,00;;;;;
2016-04-07;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;49,000;52,000;1263,0;1553,0;-235,00;90,000;-0,15688;0,06152;
2016-04-07;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;4,0000;4,0000;631,00;341,00;309,00;-16,000;0,95963;-0,04482;
2016-04-07;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;129,00;114,00;8477,0;5693,0;39,000;88,000;0,00462;0,01570;
2016-04-07;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;721,00;719,00;31765;46159;8084,0;-2552,0;0,34137;-0,05239;
2016-04-07;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;36,000;32,000;6783,0;5475,0;-47,000;399,00;-0,00688;0,07861;
2016-04-07;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;41,000;50,000;9412,0;12196;51,000;2,0000;0,00545;0,00016;
2016-04-07;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;163,00;83,000;5664,0;6972,0;375,00;-71,000;0,07090;-0,01008;
