moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-07-01;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;13,000;16,000;876,00;1035,0;-54,000;-38,000;-0,05806;-0,03541;
2016-07-01;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;10,000;10,000;264,00;105,00;36,000;20,000;0,15789;0,23529;
2016-07-01;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;45,000;46,000;37104;36415;-149,00;53,000;-0,00400;0,00146;
2016-07-01;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;47,000;56,000;1889,0;2578,0;104,00;-98,000;0,05826;-0,03662;
2016-07-01;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;49,000;38,000;27872;27731;-4662,0;-4946,0;-0,14330;-0,15136;
2016-07-01;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;70,000;50,000;1080,0;1221,0;12,000;296,00;0,01124;0,32000;
2016-07-01;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;944,00;1133,0;107345;102578;-55734;-56315;-0,34176;-0,35442;
2016-07-01;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;504,00;646,00;24872;29639;-5945,0;-5364,0;-0,19291;-0,15324;
2016-07-01;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;18,000;26,000;340,00;520,00;243,00;254,00;2,5052;0,95489;
2016-07-01;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;13,000;22,000;278,00;98,000;13,000;2,0000;0,04906;0,02083;
2016-07-01;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-01;CU;Фьючерсный контракт на медь;F;;4,0000;3,0000;11,000;54,000;1,0000;-1,0000;0,10000;-0,01818;
2016-07-01;CU;Фьючерсный контракт на медь;F;1,0000;4,0000;7,0000;69,000;26,000;-2,0000;;-0,02817;;
2016-07-01;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;2,0000;;;;;
2016-07-01;ED;Фьючерсный контракт на курс евро-доллар США;F;;131,00;256,00;25238;29558;-2967,0;-3545,0;-0,10519;-0,10709;
2016-07-01;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;131,00;216,00;10822;6502,0;34,000;612,00;0,00315;0,10390;
2016-07-01;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;;4,0000;1,0000;39,000;43,000;-2,0000;-2,0000;-0,04878;-0,04444;
