moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-06-27;Eu;Опцион на фьючерсный контракт на курс евро-рубль;P;1,0000;3,0000;3,0000;550,00;550,00;;;;;
2016-06-27;Eu;Фьючерсный контракт на курс евро - российский рубль;F;;300,00;358,00;89346;86924;13335;9794,0;0,17544;0,12698;
2016-06-27;Eu;Фьючерсный контракт на курс евро - российский рубль;F;1,0000;224,00;142,00;4195,0;6617,0;-3208,0;333,00;-0,43334;0,05299;
2016-06-27;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;;44,000;42,000;1663,0;2847,0;-310,00;-36,000;-0,15712;-0,01249;
2016-06-27;FEES;"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""";F;1,0000;24,000;59,000;2556,0;1372,0;210,00;-64,000;0,08951;-0,04457;
2016-06-27;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";C;;1,0000;1,0000;5,0000;5,0000;;;;;
2016-06-27;FEES;"Опцион на фьючерс на обыкновенные акции ПАО ""ФСК ЕЭС""";P;1,0000;1,0000;1,0000;16,000;16,000;;;;;
2016-06-27;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;;760,00;308,00;170809;120738;4848,0;4042,0;0,02921;0,03464;
2016-06-27;GAZR;"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""";F;1,0000;642,00;203,00;10872;60943;3016,0;3822,0;0,38391;0,06691;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;;130,00;94,000;8161,0;6628,0;489,00;555,00;0,06374;0,09139;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";C;1,0000;116,00;77,000;3946,0;5479,0;338,00;272,00;0,09368;0,05224;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;;81,000;87,000;9731,0;12323;74,000;-22,000;0,00766;-0,00178;
2016-06-27;GAZR;"Опцион на обыкновенные акции ПАО ""Газпром""";P;1,0000;77,000;73,000;5606,0;3014,0;111,00;207,00;0,02020;0,07374;
2016-06-27;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;;159,00;20,000;8406,0;5207,0;2572,0;893,00;0,44086;0,20700;
2016-06-27;GBPU;Фьючерсный контракт на курс фунт стерлингов-доллар США;F;1,0000;131,00;24,000;663,00;3862,0;158,00;1837,0;0,31287;0,90716;
2016-06-27;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;;152,00;56,000;6323,0;5283,0;232,00;254,00;0,03809;0,05051;
2016-06-27;GMKR;"Фьючерсный контракт на обыкновенные акции ПАО ГМК ""Норильский Никель""";F;1,0000;122,00;43,000;539,00;1579,0;-47,000;-69,000;-0,08020;-0,04187;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";C;;5,0000;7,0000;29,000;29,000;15,000;15,000;1,0714;1,0714;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;;6,0000;4,0000;25,000;41,000;;;;;
2016-06-27;GMKR;"Опцион на фьючерс на акции ПАО ""ГМК ""Норильский Никель""";P;1,0000;1,0000;2,0000;24,000;8,0000;;;;;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;;17,000;19,000;395,00;528,00;2,0000;1,0000;0,00509;0,00190;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;C;1,0000;22,000;23,000;414,00;281,00;2,0000;3,0000;0,00485;0,01079;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;;9,0000;25,000;402,00;213,00;;1,0000;;0,00472;
2016-06-27;GOLD;Опцион на фьючерсный контракт на золото в слитках;P;1,0000;24,000;13,000;247,00;436,00;2,0000;1,0000;0,00816;0,00230;
