moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-07-20;RTKM;"Фьючерсный контракт на обыкновенные акции ПАО ""Ростелеком""";F;;14,000;12,000;1045,0;640,00;-25,000;-22,000;-0,02336;-0,03323;
2016-07-20;RTKM;"Фьючерсный контракт на обыкновенные акции ПАО ""Ростелеком""";F;1,0000;20,000;7,0000;62,000;467,00;5,0000;2,0000;0,08772;0,00430;
2016-07-20;RTKM;"Опцион на фьючерс на акции ПАО ""Ростелеком""";C;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-20;RTKM;"Опцион на фьючерс на акции ПАО ""Ростелеком""";P;1,0000;1,0000;1,0000;25,000;25,000;;;;;
2016-07-20;RTS;Фьючерсный контракт на Индекс РТС;F;;3669,0;2668,0;225673;230048;-7441,0;-12326;-0,03192;-0,05086;
2016-07-20;RTS;Фьючерсный контракт на Индекс РТС;F;1,0000;1406,0;1847,0;40808;36433;-3224,0;1661,0;-0,07322;0,04777;
2016-07-20;RTS;Опцион на фьючерсный контракт на индекс РТС;C;;1310,0;1316,0;243105;230772;7898,0;9252,0;0,03358;0,04177;
2016-07-20;RTS;Опцион на фьючерсный контракт на индекс РТС;C;1,0000;1142,0;962,00;53843;66176;3210,0;1856,0;0,06340;0,02886;
2016-07-20;RTS;Опцион на фьючерсный контракт на индекс РТС;P;;1677,0;1523,0;321751;308366;11464;8702,0;0,03695;0,02904;
2016-07-20;RTS;Опцион на фьючерсный контракт на индекс РТС;P;1,0000;1748,0;1203,0;80569;93954;6221,0;8983,0;0,08367;0,10572;
2016-07-20;RVI;Фьючерсный контракт на волатильность российского рынка;F;;8,0000;;;48,000;;-8,0000;;-0,14286;
2016-07-20;RVI;Фьючерсный контракт на волатильность российского рынка;F;1,0000;9,0000;2,0000;206,00;158,00;-80,000;-72,000;-0,27972;-0,31304;
2016-07-20;SBPR;"Фьючерсный контракт на привилегированные акции ПАО ""Сбербанк России""";F;;150,00;171,00;47667;39229;-2502,0;1098,0;-0,04987;0,02880;
2016-07-20;SBPR;"Фьючерсный контракт на привилегированные акции ПАО ""Сбербанк России""";F;1,0000;139,00;184,00;5173,0;13611;763,00;-2837,0;0,17302;-0,17248;
2016-07-20;SBPR;Опцион на фьючерс на привилегированные акции ПАО Сбербанк;P;;;1,0000;19,000;;;;;;
2016-07-20;SBPR;Опцион на фьючерс на привилегированные акции ПАО Сбербанк;P;1,0000;1,0000;1,0000;20,000;39,000;;;;;
2016-07-20;SBRF;"Фьючерсный контракт на обыкновенные акции ПАО ""Сбербанк России""";F;;873,00;1810,0;273313;384410;-17545;-33245;-0,06032;-0,07960;
2016-07-20;SBRF;"Фьючерсный контракт на обыкновенные акции ПАО ""Сбербанк России""";F;1,0000;633,00;1770,0;147400;36303;-14218;1482,0;-0,08797;0,04256;
2016-07-20;SBRF;Опцион на фьючерс на акции ПАО Сбербанк (лот 100);C;;151,00;122,00;14676;13601;-67610;-68813;-0,82165;-0,83497;
2016-07-20;SBRF;Опцион на фьючерс на акции ПАО Сбербанк (лот 100);C;1,0000;81,000;108,00;4872,0;5947,0;-15986;-14783;-0,76642;-0,71312;
2016-07-20;SBRF;Опцион на фьючерс на акции ПАО Сбербанк (лот 100);P;;216,00;110,00;17657;14857;-47306;-37184;-0,72820;-0,71451;
2016-07-20;SBRF;Опцион на фьючерс на акции ПАО Сбербанк (лот 100);P;1,0000;194,00;106,00;7667,0;10467;-16034;-26156;-0,67651;-0,71420;
2016-07-20;SILV;Фьючерсный контракт на аффинированное серебро в слитках;F;;183,00;89,000;2468,0;3102,0;-313,00;-503,00;-0,11255;-0,13953;
2016-07-20;SILV;Фьючерсный контракт на аффинированное серебро в слитках;F;1,0000;137,00;47,000;2367,0;1733,0;-113,00;77,000;-0,04556;0,04650;
2016-07-20;SILV;Опцион на фьючерсный контракт на серебро в слитках;C;;4,0000;5,0000;109,00;78,000;;;;;
2016-07-20;SILV;Опцион на фьючерсный контракт на серебро в слитках;C;1,0000;9,0000;8,0000;80,000;111,00;;;;;
2016-07-20;SILV;Опцион на фьючерсный контракт на серебро в слитках;P;;4,0000;6,0000;93,000;86,000;12,000;;0,14815;;
2016-07-20;SILV;Опцион на фьючерсный контракт на серебро в слитках;P;1,0000;13,000;9,0000;116,00;123,00;-3,0000;9,0000;-0,02521;0,07895;
2016-07-20;SNGP;"Фьючерсный контракт на привилегированные акции ОАО ""Сургутнефтегаз""";F;;146,00;44,000;5358,0;4543,0;533,00;263,00;0,11047;0,06145;
2016-07-20;SNGP;"Фьючерсный контракт на привилегированные акции ОАО ""Сургутнефтегаз""";F;1,0000;107,00;33,000;1375,0;2190,0;9,0000;279,00;0,00659;0,14600;
2016-07-20;SNGP;"Опцион на фьючерс на привилегированные акции ОАО ""Сургутнефтегаз""";C;1,0000;1,0000;1,0000;15,000;15,000;;;;;
2016-07-20;SNGP;"Опцион на фьючерс на привилегированные акции ОАО ""Сургутнефтегаз""";P;1,0000;2,0000;3,0000;17,000;17,000;;;;;
2016-07-20;SNGR;"Опцион на фьючерс на акции ОАО ""Сургутнефтегаз""";P;1,0000;1,0000;1,0000;2,0000;2,0000;;;;;
2016-07-20;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;;71,000;11,000;2858,0;1341,0;3,0000;25,000;0,00105;0,01900;
2016-07-20;SNGR;"Фьючерсный контракт на обыкновенные акции ОАО ""Сургутнефтегаз""";F;1,0000;71,000;17,000;296,00;1813,0;-6,0000;-28,000;-0,01987;-0,01521;
2016-07-20;SUGR;Фьючерсный контракт на сахар-сырец;F;;1,0000;;;1,0000;;;;;
2016-07-20;SUGR;Фьючерсный контракт на сахар-сырец;F;1,0000;1,0000;1,0000;7,0000;6,0000;;;;;
2016-07-20;Si;Опцион на фьючерсный контракт на доллар США;C;;2042,0;1151,0;452231;355250;13773;17097;0,03141;0,05056;
2016-07-20;Si;Опцион на фьючерсный контракт на доллар США;C;1,0000;1952,0;1204,0;116046;213027;6150,0;2826,0;0,05596;0,01344;
2016-07-20;Si;Опцион на фьючерсный контракт на доллар США;P;;1114,0;987,00;351164;282233;-6661,0;1961,0;-0,01862;0,00700;
2016-07-20;Si;Опцион на фьючерсный контракт на доллар США;P;1,0000;1181,0;802,00;59113;128044;9965,0;1343,0;0,20275;0,01060;
2016-07-20;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;;6414,0;5395,0;1367100;1203828;-20379;-16450;-0,01469;-0,01348;
2016-07-20;Si;Фьючерсный контракт на курс доллар США - российский рубль;F;1,0000;3670,0;1403,0;76688;239960;-10082;-14011;-0,11619;-0,05517;
2016-07-20;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;;11,000;15,000;997,00;2614,0;-133,00;-156,00;-0,11770;-0,05632;
2016-07-20;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;1,0000;9,0000;18,000;1661,0;44,000;-2,0000;21,000;-0,00120;0,91304;
2016-07-20;TATN;"Опцион на фьючерс на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";P;1,0000;1,0000;1,0000;7,0000;7,0000;;;;;
2016-07-20;TRNF;"Фьючерсный контракт на привилегированные акции ОАО АК ""Транснефть""";F;;28,000;7,0000;73,000;254,00;-1,0000;4,0000;-0,01351;0,01600;
2016-07-20;TRNF;"Фьючерсный контракт на привилегированные акции ОАО АК ""Транснефть""";F;1,0000;15,000;11,000;359,00;178,00;3,0000;-2,0000;0,00843;-0,01111;
2016-07-20;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;;23,000;6,0000;4655,0;3450,0;2751,0;2635,0;1,4449;3,2331;
2016-07-20;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;1,0000;19,000;13,000;69,000;1274,0;10,000;126,00;0,16949;0,10976;
2016-07-20;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;;5,0000;3,0000;3024,0;2887,0;2,0000;1,0000;0,00066;0,00035;
2016-07-20;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;1,0000;3,0000;3,0000;6,0000;143,00;1,0000;2,0000;0,20000;0,01418;
2016-07-20;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;;81,000;85,000;9388,0;8709,0;-297,00;796,00;-0,03067;0,10059;
2016-07-20;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;1,0000;66,000;69,000;2589,0;3268,0;1331,0;238,00;1,0580;0,07855;
2016-07-20;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;;12,000;11,000;127,00;190,00;1,0000;9,0000;0,00794;0,04972;
2016-07-20;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;1,0000;7,0000;3,0000;119,00;56,000;4,0000;-4,0000;0,03478;-0,06667;
2016-07-20;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;;9,0000;5,0000;6434,0;6202,0;1573,0;1525,0;0,32360;0,32606;
2016-07-20;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;1,0000;3,0000;4,0000;12,000;244,00;6,0000;54,000;1,0000;0,28421;
2016-07-20;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;;1,0000;2,0000;7,0000;1,0000;;;;;
2016-07-20;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;1,0000;2,0000;;;6,0000;;;;;
