moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-07-06;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;15,000;33,000;924,00;1815,0;119,00;765,00;0,14783;0,72857;
2016-07-06;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;16,000;20,000;1003,0;112,00;648,00;2,0000;1,8254;0,01818;
2016-07-06;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;67,000;56,000;36386;35746;2425,0;2575,0;0,07141;0,07763;
2016-07-06;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;74,000;62,000;2591,0;3231,0;450,00;300,00;0,21018;0,10235;
2016-07-06;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;61,000;59,000;26701;26994;2580,0;2566,0;0,10696;0,10504;
2016-07-06;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;78,000;56,000;2021,0;1728,0;131,00;145,00;0,06931;0,09160;
2016-07-06;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;2034,0;968,00;213317;183861;-1007,0;12241;-0,00470;0,07133;
2016-07-06;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;970,00;557,00;22094;51550;6402,0;-6846,0;0,40798;-0,11723;
2016-07-06;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;22,000;27,000;157,00;353,00;-114,00;-106,00;-0,42066;-0,23094;
2016-07-06;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;11,000;24,000;289,00;93,000;8,0000;;0,02847;;
2016-07-06;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-07-06;CU;Фьючерсный контракт на медь;F;;5,0000;3,0000;14,000;55,000;1,0000;;0,07692;;
2016-07-06;CU;Фьючерсный контракт на медь;F;1,0000;4,0000;7,0000;67,000;26,000;-1,0000;;-0,01471;;
2016-07-06;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;2,0000;;;;;
2016-07-06;ED;Фьючерсный контракт на курс евро-доллар США;F;;144,00;241,00;29188;37751;6950,0;6067,0;0,31253;0,19148;
2016-07-06;ED;Фьючерсный контракт на курс евро-доллар США;F;1,0000;138,00;228,00;14393;5830,0;2,0000;885,00;0,00014;0,17897;
2016-07-06;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;;4,0000;1,0000;39,000;43,000;;;;;
2016-07-06;ED;Опцион на фьючерсный контракт на курс евро-доллар;C;1,0000;6,0000;8,0000;14,000;10,000;;;;;
