<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090908,000000,66.8600000,70.1000000,66.8000000,69.6100000,59533
20090909,000000,69.6900000,70.8400000,69.0900000,69.8000000,43505
20090910,000000,69.8000000,71.4300000,69.8000000,70.9600000,16500
20090911,000000,70.9200000,71.6000000,67.8700000,68.5000000,30341
20090912,000000,68.3600000,68.4700000,68.3600000,68.4700000,13
20090914,000000,68.5100000,68.8100000,67.4800000,68.3700000,33446
20090915,000000,68.3600000,70.0000000,67.5200000,69.6700000,50887
20090916,000000,69.8200000,71.7200000,69.0100000,71.4600000,45326
20090917,000000,71.4200000,72.2000000,70.9200000,71.5600000,43526
20090918,000000,71.4900000,71.7700000,70.5100000,71.0800000,39677
20090919,000000,71.0300000,71.1000000,70.9800000,71.1000000,53
20090921,000000,71.1500000,71.4500000,68.0700000,68.5000000,60699
20090922,000000,68.5100000,70.7500000,68.4000000,70.5700000,50548
20090923,000000,70.6300000,70.6600000,67.3900000,67.3900000,54879
20090924,000000,67.4100000,67.9800000,64.5800000,64.9400000,64314
20090925,000000,64.9700000,65.8000000,64.0800000,65.1100000,49721
20090926,000000,65.1100000,65.1900000,65.1100000,65.1500000,21
20090928,000000,64.6000000,66.2900000,64.4900000,65.6500000,38644
20090929,000000,65.7500000,66.0000000,64.6600000,65.3200000,45374
20090930,000000,65.3800000,69.3400000,65.0100000,68.9200000,67963
20091001,000000,68.9500000,69.7900000,67.6100000,68.9700000,58748
20091002,000000,68.8100000,68.8600000,66.7400000,67.7400000,42779
20091003,000000,67.8000000,67.8000000,67.6800000,67.6800000,75
20091005,000000,67.4400000,68.6900000,65.9100000,67.9900000,54845
20091006,000000,67.9600000,69.7400000,67.6600000,68.7300000,50270
20091007,000000,68.7000000,69.4500000,66.6500000,67.5700000,50286
20091008,000000,67.5900000,70.4800000,67.0800000,69.3500000,50992
20091009,000000,69.4000000,70.5000000,68.8500000,70.5000000,46321
20091010,000000,70.4900000,71.2700000,70.4600000,70.9700000,61
20091012,000000,71.2800000,72.6900000,70.9900000,71.9200000,32856
20091013,000000,71.9400000,73.4600000,71.5300000,73.0000000,40980
20091014,000000,73.0100000,74.0400000,72.9400000,73.9100000,48641
20091015,000000,73.8800000,76.5500000,73.5500000,76.1400000,64577
20091016,000000,76.1400000,77.1900000,75.4100000,77.0700000,48689
20091017,000000,77.0800000,77.2200000,77.0100000,77.1400000,103
20091019,000000,77.0000000,77.8700000,76.5100000,77.4700000,45526
20091020,000000,77.4700000,78.1400000,76.4600000,77.1400000,52459
20091021,000000,77.1300000,80.2600000,76.0400000,79.2200000,66888
20091022,000000,79.3200000,79.9300000,78.3000000,79.5500000,52702
20091023,000000,79.5200000,80.1500000,78.2800000,78.4200000,45832
20091024,000000,78.4000000,78.4600000,78.0500000,78.1600000,339
20091026,000000,78.4900000,80.1000000,76.6400000,77.0300000,48453
20091027,000000,77.0900000,78.4500000,76.4600000,77.8600000,52483
20091028,000000,77.8600000,78.1000000,75.6400000,75.6600000,39815
20091029,000000,75.6500000,78.6300000,75.5700000,78.0800000,55110
20091030,000000,78.1200000,78.2300000,75.1300000,75.2500000,43105
20091031,000000,75.2400000,75.2500000,75.0900000,75.0900000,69
20091102,000000,75.2300000,77.0700000,74.9800000,76.6300000,54448
20091103,000000,76.5900000,78.3200000,75.0800000,77.9600000,52639
20091104,000000,78.0000000,79.4400000,77.6700000,78.6000000,47904
20091105,000000,78.6500000,78.9800000,77.8000000,78.2000000,40039
20091106,000000,78.1800000,78.8100000,75.2500000,76.1200000,56010
20091107,000000,76.0800000,76.1500000,76.0200000,76.0500000,122
20091109,000000,76.2600000,78.5200000,76.2600000,77.5900000,51335
20091110,000000,77.5900000,79.7000000,77.1500000,78.3700000,27285
20091111,000000,78.4000000,79.3500000,77.8400000,78.6500000,36548
20091112,000000,78.6600000,79.0400000,76.3200000,76.5500000,42764
20091113,000000,76.5800000,77.6400000,75.5500000,76.4000000,68548
20091114,000000,76.3200000,76.4600000,76.2600000,76.4600000,46
20091116,000000,76.8000000,79.2700000,76.5700000,78.6600000,63167
20091117,000000,78.6900000,79.5600000,78.0200000,79.1200000,60959
20091118,000000,79.1200000,80.1400000,78.6700000,79.5500000,65940
20091119,000000,79.5500000,79.7900000,77.2000000,77.8500000,67260
20091120,000000,77.8500000,78.1500000,76.5000000,77.4800000,67074
20091121,000000,77.5600000,77.6000000,77.3500000,77.6000000,36
20091123,000000,77.6400000,79.5700000,77.1200000,77.6400000,76940
20091124,000000,77.6300000,77.8400000,76.0500000,76.6700000,71903
20091125,000000,76.6700000,78.6300000,76.3100000,78.4600000,71234
20091126,000000,78.4700000,78.4700000,76.9500000,77.0500000,39081
20091127,000000,77.1000000,77.3700000,73.7000000,77.1200000,77488
20091130,000000,77.4700000,79.3000000,76.4000000,78.3600000,68018
20091201,000000,78.3200000,79.9100000,78.2500000,79.1100000,51992
20091202,000000,79.1000000,79.6700000,77.4800000,77.9700000,47480
20091203,000000,77.9900000,78.9500000,77.4300000,78.0000000,52128
20091204,000000,77.9500000,79.7600000,76.9500000,77.6800000,48512
20091205,000000,77.7300000,77.8100000,77.7300000,77.7400000,12
20091207,000000,78.0000000,78.2500000,76.3000000,76.5300000,51307
